#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
1000036,흑와단 36,0,0,0,0,0,0,0,0,0
1000037,흑와단 37,0,0,0,0,0,0,0,0,0
1000038,흑와단 38,0,0,0,0,0,0,0,0,0
1000039,흑와단 39,0,0,0,0,0,0,0,0,0
1000040,흑와단 40,0,0,0,0,0,0,0,0,0
1000041,흑와단 41,0,0,0,0,0,0,0,0,0
1000042,흑와단 42,0,0,0,0,0,0,0,0,0
1000043,흑와단 43,0,0,0,0,0,0,0,0,0
1000044,흑와단 44,0,0,0,0,0,0,0,0,0
1000045,흑와단 45,0,0,0,0,0,0,0,0,0
1000046,흑와단 46,0,0,0,0,0,0,0,0,0
1000047,흑와단 47,0,0,0,0,0,0,0,0,0
1000048,흑와단 48,0,0,0,0,0,0,0,0,0
1000049,흑와단 49,0,0,0,0,0,0,0,0,0
1000050,흑와단 50,0,0,0,0,0,0,0,0,0
2000001,쌍사당 01,240,125,0,0,0,3,0,0,0
2000002,쌍사당 02,266,335,0,0,0,5,0,0,0
2000003,쌍사당 03,287,338,0,0,0,5,0,0,0
2000004,쌍사당 04,311,339,0,0,0,5,0,0,0
2000005,쌍사당 05,345,140,0,0,0,3,0,0,0
2000006,쌍사당 06,357,36,0,0,0,3,0,0,0
2000007,쌍사당 07,388,249,0,0,0,3,0,0,0
2000008,쌍사당 08,431,153,0,0,0,3,0,0,0
2000009,쌍사당 09,441,259,0,0,0,3,0,0,0
2000010,쌍사당 10,478,292,0,0,0,1,0,0,0
2000011,쌍사당 11,531,266,0,0,0,3,0,0,0
2000012,쌍사당 12,590,60,0,0,0,3,0,0,0
2000013,쌍사당 13,609,59,0,0,0,3,0,0,0
2000014,쌍사당 14,629,351,0,0,0,4,0,0,0
2000015,쌍사당 15,655,354,0,0,0,1,0,0,0
2000016,쌍사당 16,632,68,0,0,0,3,0,0,0
2000017,쌍사당 17,653,182,0,0,0,3,0,0,0
2000018,쌍사당 18,674,74,0,0,0,3,0,0,0
2000019,쌍사당 19,702,277,0,0,0,3,0,0,0
2000020,쌍사당 20,749,79,0,0,0,3,0,0,0
2000021,쌍사당 21,774,195,0,0,0,3,0,0,0
2000022,쌍사당 22,799,199,0,0,0,3,0,0,0
2000023,쌍사당 23,832,82,0,0,0,3,0,0,0
2000024,쌍사당 24,884,86,0,0,0,3,0,0,0
2000025,쌍사당 25,913,286,0,0,0,3,0,0,0
2000026,쌍사당 26,943,330,0,0,0,4,0,0,0
2000027,쌍사당 27,982,331,0,0,0,5,0,0,0
2000028,쌍사당 28,1506,341,0,0,0,7,0,0,0
2000029,쌍사당 29,1555,342,0,0,0,6,0,0,0
2000030,쌍사당 30,1619,343,0,0,0,1,0,0,0
2000031,쌍사당 31,0,0,0,0,0,0,0,0,0
2000032,쌍사당 32,0,0,0,0,0,0,0,0,0
2000033,쌍사당 33,0,0,0,0,0,0,0,0,0
2000034,쌍사당 34,0,0,0,0,0,0,0,0,0
2000035,쌍사당 35,0,0,0,0,0,0,0,0,0
2000036,쌍사당 36,0,0,0,0,0,0,0,0,0
2000037,쌍사당 37,0,0,0,0,0,0,0,0,0
2000038,쌍사당 38,0,0,0,0,0,0,0,0,0
2000039,쌍사당 39,0,0,0,0,0,0,0,0,0
2000040,쌍사당 40,0,0,0,0,0,0,0,0,0
2000041,쌍사당 41,0,0,0,0,0,0,0,0,0
2000042,쌍사당 42,0,0,0,0,0,0,0,0,0
2000043,쌍사당 43,0,0,0,0,0,0,0,0,0
2000044,쌍사당 44,0,0,0,0,0,0,0,0,0
2000045,쌍사당 45,0,0,0,0,0,0,0,0,0
2000046,쌍사당 46,0,0,0,0,0,0,0,0,0
2000047,쌍사당 47,0,0,0,0,0,0,0,0,0
2000048,쌍사당 48,0,0,0,0,0,0,0,0,0
2000049,쌍사당 49,0,0,0,0,0,0,0,0,0
2000050,쌍사당 50,0,0,0,0,0,0,0,0,0
3000001,불멸대 01,240,124,0,0,0,3,0,0,0
3000002,불멸대 02,266,336,0,0,0,3,0,0,0
3000003,불멸대 03,287,337,0,0,0,1,0,0,0
3000004,불멸대 04,311,340,0,0,0,1,0,0,0
3000005,불멸대 05,345,141,0,0,0,3,0,0,0
3000006,불멸대 06,357,35,0,0,0,3,0,0,0
3000007,불멸대 07,388,36,0,0,0,3,0,0,0
3000008,불멸대 08,431,250,0,0,0,3,0,0,0
3000009,불멸대 09,441,155,0,0,0,3,0,0,0
3000010,불멸대 10,478,293,0,0,0,1,0,0,0
3000011,불멸대 11,531,270,0,0,0,3,0,0,0
3000012,불멸대 12,590,60,0,0,0,3,0,0,0
3000013,불멸대 13,609,59,0,0,0,3,0,0,0
3000014,불멸대 14,629,345,0,0,0,3,0,0,0
3000015,불멸대 15,655,346,0,0,0,2,0,0,0
3000016,불멸대 16,632,347,0,0,0,1,0,0,0
3000017,불멸대 17,653,71,0,0,0,3,0,0,0
3000018,불멸대 18,674,180,0,0,0,3,0,0,0
3000019,불멸대 19,702,76,0,0,0,3,0,0,0
3000020,불멸대 20,749,281,0,0,0,3,0,0,0
3000021,불멸대 21,774,195,0,0,0,3,0,0,0
3000022,불멸대 22,799,198,0,0,0,3,0,0,0
3000023,불멸대 23,832,81,0,0,0,3,0,0,0
3000024,불멸대 24,884,87,0,0,0,3,0,0,0
3000025,불멸대 25,913,288,0,0,0,3,0,0,0
3000026,불멸대 26,943,328,0,0,0,4,0,0,0
3000027,불멸대 27,982,331,0,0,0,5,0,0,0
3000028,불멸대 28,1506,341,0,0,0,8,0,0,0
3000029,불멸대 29,1555,348,0,0,0,3,0,0,0
3000030,불멸대 30,1619,349,0,0,0,3,0,0,0
3000031,불멸대 31,0,0,0,0,0,0,0,0,0
3000032,불멸대 32,0,0,0,0,0,0,0,0,0
3000033,불멸대 33,0,0,0,0,0,0,0,0,0
3000034,불멸대 34,0,0,0,0,0,0,0,0,0
3000035,불멸대 35,0,0,0,0,0,0,0,0,0
3000036,불멸대 36,0,0,0,0,0,0,0,0,0
3000037,불멸대 37,0,0,0,0,0,0,0,0,0
3000038,불멸대 38,0,0,0,0,0,0,0,0,0
3000039,불멸대 39,0,0,0,0,0,0,0,0,0
3000040,불멸대 40,0,0,0,0,0,0,0,0,0
3000041,불멸대 41,0,0,0,0,0,0,0,0,0
3000042,불멸대 42,0,0,0,0,0,0,0,0,0
3000043,불멸대 43,0,0,0,0,0,0,0,0,0
3000044,불멸대 44,0,0,0,0,0,0,0,0,0
3000045,불멸대 45,0,0,0,0,0,0,0,0,0
3000046,불멸대 46,0,0,0,0,0,0,0,0,0
3000047,불멸대 47,0,0,0,0,0,0,0,0,0
3000048,불멸대 48,0,0,0,0,0,0,0,0,0
3000049,불멸대 49,0,0,0,0,0,0,0,0,0
3000050,불멸대 50,0,0,0,0,0,0,0,0,0
