#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
454,에스프리 효과 향상,0,6358,0,38,150,84,150,0,False
455,플러리쉬 효과 향상,0,6359,0,38,150,86,150,0,False
456,수세의 삼바 효과 향상,0,6360,-300,38,150,88,150,0,False
457,공세의 탱고 효과 향상,0,6361,0,38,150,90,150,0,False
458,극성 숙련 2,0,5366,0,7,55,20,55,0,False
459,극성 숙련 3,0,5367,0,7,55,35,55,0,False
460,천사의 언어,67217,5368,0,25,26,56,26,0,False
461,금지된 언어 효과 향상,0,5369,0,25,26,80,26,0,False
462,극성 숙련 4,0,5370,0,25,26,82,26,0,False
463,마나샘 효과 향상,0,5371,-200,25,26,84,26,0,False
464,마력 각성 효과 향상 2,0,5372,2,0,0,0,0,0,False
465,극성 숙련 5,0,5373,0,25,26,90,26,0,False
466,에테르 충전 효과 향상,66639,5396,0,26,69,15,69,0,False
467,에테르 충전 효과 향상 2,0,5397,0,26,69,22,69,0,False
468,루비 소환 숙련,66627,5682,0,27,28,30,28,0,False
469,토파즈 소환 숙련,66628,5683,0,27,28,35,28,0,False
470,에메랄드 소환 숙련,66631,5684,0,27,28,45,28,0,False
471,점화,66632,5685,0,27,28,50,28,0,False
472,,0,0,0,0,0,0,0,0,False
473,루인 숙련 2,67638,5687,0,27,28,54,28,0,False
474,에테르 충전 숙련,67640,5690,0,27,28,58,28,0,False
475,생명력 흡입 효과 향상,0,5691,0,27,28,62,28,0,False
476,루인 숙련 3,0,5688,0,27,28,72,28,0,False
477,발산 숙련,0,5692,0,27,28,74,28,0,False
478,발산 숙련 2,0,5693,0,27,28,82,28,0,False
479,루인 숙련 4,0,5689,0,27,28,84,28,0,False
480,수호의 빛 효과 향상,0,5694,2,27,28,88,28,0,False
481,점화 2,0,5695,0,27,28,90,28,0,False
482,마법검 효과 향상,0,6208,0,35,112,68,112,0,False
483,적마법 숙련 2,0,6209,0,35,112,82,112,0,False
484,적마법 숙련 3,0,6210,0,35,112,84,112,0,False
485,가속화 효과 향상,0,6211,2,35,112,88,112,0,False
486,마나 증량 효과 향상 2,0,6212,0,35,112,90,112,0,False
487,글레어 숙련,0,5343,0,24,25,82,25,0,False
488,홀리 숙련,0,5344,0,24,25,82,25,0,False
489,회복 기술 효과 향상,0,6826,0,24,25,85,25,0,False
490,신성한 축복 효과 향상,0,5345,2,24,25,88,25,0,False
491,염법 숙련 4,0,5704,0,28,29,82,29,0,False
492,파진법 숙련,0,5705,0,28,29,82,29,0,False
493,회복 기술 효과 향상,0,6826,0,28,29,85,29,0,False
494,전개전술 효과 향상,0,5706,-300,28,29,88,29,0,False
495,점지 효과 향상,0,6115,0,0,0,0,0,0,False
496,점지 효과 향상 2,0,6116,0,0,0,0,0,0,False
497,말레피크 숙련 4,0,6117,0,33,99,82,99,0,False
498,그라비데 숙련,0,6118,0,33,99,82,99,0,False
499,회복 기술 효과 향상,0,6826,0,33,99,85,99,0,False
500,천궁의 교차 효과 향상,0,6119,2,33,99,88,99,0,False
501,우주샘낚시,0,5487,0,18,19,89,19,0,False
502,바하무트 소환 효과 향상,0,5696,0,27,28,80,28,0,False
503,원소 숙련,0,5697,0,27,28,86,28,0,False
504,기술 위력 향상,0,6801,0,19,20,84,20,0,False
505,기술 위력 향상,0,6801,0,21,22,84,22,0,False
506,기술 위력 향상,0,6801,0,32,98,84,98,0,False
507,기술 위력 향상,0,6801,0,37,149,84,149,0,False
508,창 숙련 3,0,5292,0,22,23,90,23,0,False
509,천사의 언어 효과 향상 3,0,5374,17,25,26,86,26,0,False
510,퓌시스 숙련,0,6459,0,40,181,60,181,0,False
511,환영 구현 효과 향상,0,6065,0,32,98,88,98,0,False
512,폭렬각 숙련,0,5248,0,20,21,86,21,0,False
513,투혼선풍각 숙련,0,5247,0,20,21,90,21,0,False
514,의기충천 효과 향상,0,6157,0,34,111,90,111,0,False
515,마무리 일격 숙련,67222,5420,0,30,92,56,92,0,False
516,기술 위력 향상,0,6801,0,30,92,74,92,0,False
517,기술 위력 향상,0,6801,0,31,96,84,96,0,False
518,기술 위력 향상,0,6801,0,20,21,84,21,0,False
519,풍아 숙련,0,6158,0,34,111,86,111,0,False
520,기술 위력 향상,0,6801,0,34,111,66,111,0,False
521,기술 위력 향상 2,0,6802,0,34,111,84,111,0,False
522,기술 위력 향상 2,0,6802,0,30,92,84,92,0,False
523,기술 위력 향상 2,0,6802,0,39,180,84,180,0,False
524,송곳니 효과 향상,0,6501,0,41,196,55,196,0,False
525,큰송곳니 효과 향상,0,6502,0,41,196,60,196,0,False
526,뱀 효과 향상,0,6503,0,41,196,75,196,0,False
527,큰뱀 효과 향상,0,6504,0,41,196,80,196,0,False
528,날뱀의 영혼,0,6505,0,41,196,82,196,0,False
529,뱀걸음 효과 향상,0,6506,3,41,196,84,196,0,False
530,날뱀의 영혼 효과 향상,0,6507,0,41,196,88,196,0,False
531,조상령,0,6508,0,41,196,90,196,0,False
532,날뱀의 꼬리 효과 향상,0,6510,0,41,196,92,196,0,False
533,조상령 효과 향상,0,6511,0,41,196,96,196,0,False
534,조상령의 송곳니 숙련,0,6509,0,41,196,100,196,0,False
535,,0,0,0,0,0,0,0,0,False
536,,0,0,0,0,0,0,0,0,False
537,팔레트,0,6551,0,42,197,60,197,0,False
538,색칠 효과 향상,0,6552,0,42,197,80,197,0,False
539,붓번짐 효과 향상,0,6553,0,42,197,84,197,0,False
540,그림 효과 향상 2,0,6554,2,42,197,86,197,0,False
541,템페라 효과 향상,0,6555,0,42,197,88,197,0,False
542,색빼기 효과 향상,0,6556,0,42,197,90,197,0,False
543,그림 효과 향상 3,0,6560,0,42,197,92,197,0,False
544,그림 효과 향상 5,0,6561,0,42,197,100,197,0,False
545,그림 효과 향상 4,0,6559,3,42,197,96,197,0,False
546,그림 효과 향상,0,6558,0,42,197,82,197,0,False
547,,0,0,0,0,0,0,0,0,False
548,정밀 작업 숙련,0,6951,0,8,9,94,9,0,False
549,정밀 작업 숙련,0,6952,0,9,10,94,10,0,False
550,정밀 작업 숙련,0,6953,0,10,11,94,11,0,False
551,정밀 작업 숙련,0,6954,0,11,12,94,12,0,False
552,정밀 작업 숙련,0,6955,0,12,13,94,13,0,False
553,정밀 작업 숙련,0,6956,0,13,14,94,14,0,False
554,정밀 작업 숙련,0,6957,0,14,15,94,15,0,False
555,정밀 작업 숙련,0,6958,0,15,16,94,16,0,False
556,장인의 운때,0,6975,0,8,9,96,9,0,False
557,장인의 운때,0,6975,0,9,10,96,10,0,False
558,장인의 운때,0,6975,0,10,11,96,11,0,False
559,장인의 운때,0,6975,0,11,12,96,12,0,False
560,장인의 운때,0,6975,0,12,13,96,13,0,False
561,장인의 운때,0,6975,0,13,14,96,14,0,False
562,장인의 운때,0,6975,0,14,15,96,15,0,False
563,장인의 운때,0,6975,0,15,16,96,16,0,False
564,경계 숙련,0,5202,0,19,20,92,20,0,False
565,안식 기도 숙련,0,5223,0,19,20,96,20,0,False
566,용맹의 검 효과 향상,0,5224,0,19,20,100,20,0,False
567,보복 숙련,0,5271,0,21,22,92,22,0,False
568,원초의 해방 효과 향상,0,5272,0,21,22,96,22,0,False
569,원초적 분쇄 효과 향상,0,5273,0,21,22,100,22,0,False
570,피의 칼날 숙련,0,6053,0,32,98,68,98,0,False
571,그림자 장벽 숙련,0,6068,0,32,98,92,98,0,False
572,피의 열광 효과 향상,0,6069,0,32,98,96,98,0,False
573,환영 구현 효과 향상 3,0,6070,0,32,98,100,98,0,False
574,성운 숙련,0,6308,0,37,149,92,149,0,False
575,연속기 효과 향상 2,0,6309,0,37,149,96,149,0,False
576,피의 소일 효과 향상,0,6310,0,37,149,100,149,0,False
577,상형권,0,5249,0,20,21,92,21,0,False
578,질풍의 극의 효과 향상,0,5526,0,20,21,96,21,0,False
579,홍련의 극의 효과 향상,0,5527,0,20,21,100,21,0,False
580,비룡 활공 효과 향상,0,5295,2,22,23,84,23,0,False
581,화룡 강타 효과 향상,0,5296,0,22,23,92,23,0,False
582,창 숙련 4,0,5293,0,22,23,96,23,0,False
583,천체 강하 효과 향상,0,5298,0,22,23,100,23,0,False
584,공격 속도 증가,0,5421,0,30,92,45,92,0,False
585,약탈 숙련,0,5422,0,30,92,66,92,0,False
586,속임수 공격 숙련,0,5423,0,30,92,92,92,0,False
587,강탈 효과 향상,0,5424,0,30,92,96,92,0,False
588,천지인 효과 향상,0,5726,0,30,92,100,92,0,False
589,심안 숙련,0,6159,0,34,111,82,111,0,False
590,검풍 숙련,0,6160,0,34,111,92,111,0,False
591,필살검 효과 향상,0,6161,-600,34,111,94,111,0,False
592,의기충천 효과 향상 2,0,6162,0,34,111,96,111,0,False
593,명경지수 효과 향상 2,0,6163,0,34,111,100,111,0,False
594,레무르 수의 효과 향상,0,6411,0,39,180,92,180,0,False
595,,0,0,0,0,0,0,0,0,False
596,탐식 효과 향상,0,6413,0,39,180,96,180,0,False
597,풍성한 수확 효과 향상,0,6414,0,39,180,100,180,0,False
598,일제 사격 숙련,0,5322,0,23,24,72,24,0,False
599,사혈 화살 숙련,0,5323,0,23,24,92,24,0,False
600,마구 쏘기 효과 향상,0,5301,0,23,24,96,24,0,False
601,방랑하는 음악가 효과 향상 2,0,5324,0,23,24,98,24,0,False
602,빛신의 종곡 효과 향상,0,5601,0,23,24,100,24,0,False
603,열기 분사 숙련,0,6021,0,31,96,68,96,0,False
604,누적 기술 숙련,0,6022,0,31,96,92,96,0,False
605,복합 병기 효과 향상,0,6023,2,31,96,94,96,0,False
606,복합 병기 효과 향상 2,0,6024,0,31,96,96,96,0,False
607,책략가 효과 향상 2,0,6025,0,31,96,98,96,0,False
608,열기 조절 효과 향상,0,6026,0,31,96,100,96,0,False
609,정석 마무리 효과 향상,0,6362,0,38,150,92,150,0,False
610,플러리쉬 효과 향상 2,0,6363,0,38,150,96,150,0,False
611,수세의 삼바 효과 향상 2,0,6364,0,38,150,98,150,0,False
612,기교 마무리 효과 향상 2,0,6365,0,38,150,100,150,0,False
613,선더 숙련 3,0,5651,0,25,26,92,26,0,False
614,흑마법 문양 효과 향상,0,5652,0,25,26,96,26,0,False
615,언어 통달 효과 향상 2,0,5653,0,25,26,98,26,0,False
616,천상의 화염 효과 향상,0,5654,0,25,26,100,26,0,False
617,미아즈마 버스트 숙련,0,5398,0,27,28,92,28,0,False
618,타오르는 빛 효과 향상,0,5399,0,27,28,96,28,0,False
619,바하무트 소환 효과 향상 2,0,5698,0,27,28,100,28,0,False
620,성원 효과 향상,0,6213,0,35,112,92,112,0,False
621,가속화 효과 향상 2,0,6214,0,35,112,96,112,0,False
622,마나 증량 효과 향상 3,0,6215,0,35,112,100,112,0,False
623,쾌속의 마법 효과 향상,0,5346,0,24,25,92,25,0,False
624,메디카라 숙련,0,5347,0,24,25,96,25,0,False
625,신의 이름 효과 향상,0,5349,2,24,25,98,25,0,False
626,절제 효과 향상,0,5348,0,24,25,100,25,0,False
627,연환계 효과 향상,0,5707,0,28,29,92,29,0,False
628,사기고양책 숙련,0,5708,0,28,29,96,29,0,False
629,비책 효과 향상,0,5710,-300,28,29,98,29,0,False
630,,0,0,0,0,0,0,0,0,False
631,소 아르카나 숙련,0,6120,0,33,99,70,99,0,False
632,점복 효과 향상,0,6121,0,33,99,92,99,0,False
633,별읽기: 헬리오스 숙련,0,6122,0,33,99,96,99,0,False
634,본질적 위계 효과 향상 2,0,6124,3,33,99,98,99,0,False
635,하루별읽기 효과 향상,0,6123,0,33,99,100,99,0,False
636,구조 효과 향상,0,6461,-300,40,181,94,181,0,False
637,정상건강: 예후 숙련,0,6460,0,40,181,96,181,0,False
638,퓌시스 2 효과 향상,0,6462,0,40,181,98,181,0,False
639,철벽 방어 효과 향상,0,6804,0,0,113,94,113,0,False
640,앙갚음 효과 향상,0,6805,0,0,113,98,113,0,False
641,견제 효과 향상,0,6851,0,0,114,98,114,0,False
642,내단 효과 향상,0,6852,0,0,118,94,118,0,False
643,정신 교란 효과 향상,0,6827,0,0,198,98,198,0,False
644,신속한 마법 효과 향상,0,6828,-200,0,199,94,199,0,False
645,강화 활안,67631,5447,0,16,17,100,17,0,False
646,강화 활안,67631,5472,0,17,18,100,18,0,False
647,재발견,0,5446,0,16,17,91,17,0,False
648,재발견,0,5471,0,17,18,91,18,0,False
649,어부의 혜안,0,5480,0,18,19,50,19,0,False
650,기술 위력 향상 2,0,6802,0,19,20,94,20,0,False
651,기술 위력 향상,0,6831,0,24,25,94,25,0,False
652,기술 위력 향상,0,6831,0,35,112,94,112,0,False
653,기술 위력 향상,0,6806,0,22,23,94,23,0,False
654,기술 위력 향상 2,0,6802,0,21,22,94,22,0,False
655,기술 위력 향상 3,0,6803,0,34,111,94,111,0,False
656,기술 위력 향상,0,6831,0,28,29,94,29,0,False
657,기술 위력 향상 3,0,6803,0,39,180,94,180,0,False
658,기술 위력 향상 2,0,6802,0,31,96,94,96,0,False
659,천사의 언어 효과 향상 4,0,5655,22,25,26,96,26,0,False
660,기술 위력 향상 2,0,6802,0,20,21,94,21,0,False
661,기술 위력 향상 3,0,6803,0,30,92,94,92,0,False
662,기술 위력 향상,0,6806,0,38,150,94,150,0,False
663,기술 위력 향상 2,0,6802,0,32,98,94,98,0,False
664,기술 위력 향상,0,6831,0,27,28,94,28,0,False
665,임전무퇴 효과 향상,67570,5205,0,19,20,54,20,0,False
666,무자비 효과 향상,0,6311,0,37,149,54,149,0,False
667,기술 위력 향상 2,0,6802,0,37,149,94,149,0,False
668,기술 위력 향상,0,6806,0,23,24,94,24,0,False
669,기술 위력 향상,0,6831,0,40,181,94,181,0,False
670,공격력 및 회복량 증가,0,5185,10,42,197,20,197,0,False
671,공격력 및 회복량 증가 2,0,5186,30,42,197,40,197,0,False
672,기술 위력 향상,0,6829,0,42,197,54,197,0,False
673,기술 위력 향상,0,6831,0,33,99,94,99,0,False
674,기술 위력 향상,0,6801,0,41,196,74,196,0,False
675,기술 위력 향상 2,0,6802,0,41,196,84,196,0,False
676,기술 위력 향상 2,0,6830,0,42,197,74,197,0,False
677,기술 위력 향상 3,0,6832,0,42,197,84,197,0,False
678,기술 위력 향상 4,0,6833,0,42,197,94,197,0,False
679,,0,0,0,0,0,0,0,0,False
680,,0,0,0,0,0,0,0,0,False
681,,0,0,0,0,0,0,0,0,False
682,,0,0,0,0,0,0,0,0,False
683,,0,0,0,0,0,0,0,0,False
684,,0,0,0,0,0,0,0,0,False
685,,0,0,0,0,0,0,0,0,False
686,,0,0,0,0,0,0,0,0,False
687,,0,0,0,0,0,0,0,0,False
688,,0,0,0,0,0,0,0,0,False
689,,0,0,0,0,0,0,0,0,False
690,,0,0,0,0,0,0,0,0,False
691,,0,0,0,0,0,0,0,0,False
692,,0,0,0,0,0,0,0,0,False
693,,0,0,0,0,0,0,0,0,False
694,,0,0,0,0,0,0,0,0,False
695,,0,0,0,0,0,0,0,0,False
696,,0,0,0,0,0,0,0,0,False
697,,0,0,0,0,0,0,0,0,False
698,,0,0,0,0,0,0,0,0,False
699,,0,0,0,0,0,0,0,0,False
700,,0,0,0,0,0,0,0,0,False
701,,0,0,0,0,0,0,0,0,False
702,,0,0,0,0,0,0,0,0,False
703,,0,0,0,0,0,0,0,0,False
704,,0,0,0,0,0,0,0,0,False
705,,0,0,0,0,0,0,0,0,False
706,,0,0,0,0,0,0,0,0,False
707,,0,0,0,0,0,0,0,0,False
708,,0,0,0,0,0,0,0,0,False
709,,0,0,0,0,0,0,0,0,False
710,,0,0,0,0,0,0,0,0,False
711,,0,0,0,0,0,0,0,0,False
712,,0,0,0,0,0,0,0,0,False
713,,0,0,0,0,0,0,0,0,False
714,,0,0,0,0,0,0,0,0,False
715,,0,0,0,0,0,0,0,0,False
716,,0,0,0,0,0,0,0,0,False
717,,0,0,0,0,0,0,0,0,False
718,,0,0,0,0,0,0,0,0,False
719,,0,0,0,0,0,0,0,0,False
720,,0,0,0,0,0,0,0,0,False
721,,0,0,0,0,0,0,0,0,False
722,,0,0,0,0,0,0,0,0,False
723,,0,0,0,0,0,0,0,0,False
724,,0,0,0,0,0,0,0,0,False
725,,0,0,0,0,0,0,0,0,False
726,,0,0,0,0,0,0,0,0,False
727,,0,0,0,0,0,0,0,0,False
728,,0,0,0,0,0,0,0,0,False
729,,0,0,0,0,0,0,0,0,False
730,,0,0,0,0,0,0,0,0,False
731,,0,0,0,0,0,0,0,0,False
732,,0,0,0,0,0,0,0,0,False
733,,0,0,0,0,0,0,0,0,False
734,,0,0,0,0,0,0,0,0,False
735,,0,0,0,0,0,0,0,0,False
736,,0,0,0,0,0,0,0,0,False
737,,0,0,0,0,0,0,0,0,False
738,,0,0,0,0,0,0,0,0,False
739,,0,0,0,0,0,0,0,0,False
740,,0,0,0,0,0,0,0,0,False
741,,0,0,0,0,0,0,0,0,False
742,,0,0,0,0,0,0,0,0,False
743,,0,0,0,0,0,0,0,0,False
744,,0,0,0,0,0,0,0,0,False
745,,0,0,0,0,0,0,0,0,False
746,,0,0,0,0,0,0,0,0,False
747,,0,0,0,0,0,0,0,0,False
748,,0,0,0,0,0,0,0,0,False
749,,0,0,0,0,0,0,0,0,False
750,,0,0,0,0,0,0,0,0,False
