#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
236,파란색 안대(왼쪽),,파란색 얼굴 소품,파란색 안대(왼쪽),0,0,0,1,0,0,529808,200236,0,19
237,초록색 안대(왼쪽),,초록색 얼굴 소품,초록색 안대(왼쪽),0,0,0,1,0,0,595344,200237,0,19
238,구리색 안대(왼쪽),,구리색 얼굴 소품,구리색 안대(왼쪽),0,0,0,1,0,0,660880,200238,0,19
239,보라색 안대(왼쪽),,보라색 얼굴 소품,보라색 안대(왼쪽),0,0,0,1,0,0,726416,200239,0,19
240,갈색 안대(왼쪽),,갈색 얼굴 소품,갈색 안대(왼쪽),0,0,0,1,0,0,791952,200240,0,19
241,안대(오른쪽),,고유색 얼굴 소품,안대(오른쪽),0,0,0,1,0,0,71057,200241,0,20
242,은색 안대(오른쪽),,은색 얼굴 소품,은색 안대(오른쪽),0,0,0,1,0,0,136593,200242,0,20
243,금색 안대(오른쪽),,금색 얼굴 소품,금색 안대(오른쪽),0,0,0,1,0,0,202129,200243,0,20
244,검은색 안대(오른쪽),,검은색 얼굴 소품,검은색 안대(오른쪽),0,0,0,1,0,0,267665,200244,0,20
245,흰색 안대(오른쪽),,흰색 얼굴 소품,흰색 안대(오른쪽),0,0,0,1,0,0,333201,200245,0,20
246,회색 안대(오른쪽),,회색 얼굴 소품,회색 안대(오른쪽),0,0,0,1,0,0,398737,200246,0,20
247,빨간색 안대(오른쪽),,빨간색 얼굴 소품,빨간색 안대(오른쪽),0,0,0,1,0,0,464273,200247,0,20
248,파란색 안대(오른쪽),,파란색 얼굴 소품,파란색 안대(오른쪽),0,0,0,1,0,0,529809,200248,0,20
249,초록색 안대(오른쪽),,초록색 얼굴 소품,초록색 안대(오른쪽),0,0,0,1,0,0,595345,200249,0,20
250,구리색 안대(오른쪽),,구리색 얼굴 소품,구리색 안대(오른쪽),0,0,0,1,0,0,660881,200250,0,20
251,보라색 안대(오른쪽),,보라색 얼굴 소품,보라색 안대(오른쪽),0,0,0,1,0,0,726417,200251,0,20
252,갈색 안대(오른쪽),,갈색 얼굴 소품,갈색 안대(오른쪽),0,0,0,1,0,0,791953,200252,0,20
253,금속제 안대(왼쪽),,고유색 얼굴 소품,금속제 안대(왼쪽),0,0,0,1,0,0,71058,200253,0,21
254,은색 금속제 안대(왼쪽),,은색 얼굴 소품,은색 금속제 안대(왼쪽),0,0,0,1,0,0,136594,200254,0,21
255,금색 금속제 안대(왼쪽),,금색 얼굴 소품,금색 금속제 안대(왼쪽),0,0,0,1,0,0,202130,200255,0,21
256,검은색 금속제 안대(왼쪽),,검은색 얼굴 소품,검은색 금속제 안대(왼쪽),0,0,0,1,0,0,267666,200256,0,21
257,흰색 금속제 안대(왼쪽),,흰색 얼굴 소품,흰색 금속제 안대(왼쪽),0,0,0,1,0,0,333202,200257,0,21
258,회색 금속제 안대(왼쪽),,회색 얼굴 소품,회색 금속제 안대(왼쪽),0,0,0,1,0,0,398738,200258,0,21
259,빨간색 금속제 안대(왼쪽),,빨간색 얼굴 소품,빨간색 금속제 안대(왼쪽),0,0,0,1,0,0,464274,200259,0,21
260,파란색 금속제 안대(왼쪽),,파란색 얼굴 소품,파란색 금속제 안대(왼쪽),0,0,0,1,0,0,529810,200260,0,21
261,초록색 금속제 안대(왼쪽),,초록색 얼굴 소품,초록색 금속제 안대(왼쪽),0,0,0,1,0,0,595346,200261,0,21
262,구리색 금속제 안대(왼쪽),,구리색 얼굴 소품,구리색 금속제 안대(왼쪽),0,0,0,1,0,0,660882,200262,0,21
263,보라색 금속제 안대(왼쪽),,보라색 얼굴 소품,보라색 금속제 안대(왼쪽),0,0,0,1,0,0,726418,200263,0,21
264,갈색 금속제 안대(왼쪽),,갈색 얼굴 소품,갈색 금속제 안대(왼쪽),0,0,0,1,0,0,791954,200264,0,21
265,금속제 안대(오른쪽),,고유색 얼굴 소품,금속제 안대(오른쪽),0,0,0,1,0,0,71059,200265,0,22
266,은색 금속제 안대(오른쪽),,은색 얼굴 소품,은색 금속제 안대(오른쪽),0,0,0,1,0,0,136595,200266,0,22
267,금색 금속제 안대(오른쪽),,금색 얼굴 소품,금색 금속제 안대(오른쪽),0,0,0,1,0,0,202131,200267,0,22
268,검은색 금속제 안대(오른쪽),,검은색 얼굴 소품,검은색 금속제 안대(오른쪽),0,0,0,1,0,0,267667,200268,0,22
269,흰색 금속제 안대(오른쪽),,흰색 얼굴 소품,흰색 금속제 안대(오른쪽),0,0,0,1,0,0,333203,200269,0,22
270,회색 금속제 안대(오른쪽),,회색 얼굴 소품,회색 금속제 안대(오른쪽),0,0,0,1,0,0,398739,200270,0,22
271,빨간색 금속제 안대(오른쪽),,빨간색 얼굴 소품,빨간색 금속제 안대(오른쪽),0,0,0,1,0,0,464275,200271,0,22
272,파란색 금속제 안대(오른쪽),,파란색 얼굴 소품,파란색 금속제 안대(오른쪽),0,0,0,1,0,0,529811,200272,0,22
273,초록색 금속제 안대(오른쪽),,초록색 얼굴 소품,초록색 금속제 안대(오른쪽),0,0,0,1,0,0,595347,200273,0,22
274,구리색 금속제 안대(오른쪽),,구리색 얼굴 소품,구리색 금속제 안대(오른쪽),0,0,0,1,0,0,660883,200274,0,22
275,보라색 금속제 안대(오른쪽),,보라색 얼굴 소품,보라색 금속제 안대(오른쪽),0,0,0,1,0,0,726419,200275,0,22
276,갈색 금속제 안대(오른쪽),,갈색 얼굴 소품,갈색 금속제 안대(오른쪽),0,0,0,1,0,0,791955,200276,0,22
277,커얼 안경,,고유색 얼굴 소품,커얼 안경,0,0,0,1,0,0,71060,200277,0,23
278,은색 커얼 안경,,은색 얼굴 소품,은색 커얼 안경,0,0,0,1,0,0,136596,200278,0,23
279,금색 커얼 안경,,금색 얼굴 소품,금색 커얼 안경,0,0,0,1,0,0,202132,200279,0,23
280,검은색 커얼 안경,,검은색 얼굴 소품,검은색 커얼 안경,0,0,0,1,0,0,267668,200280,0,23
281,흰색 커얼 안경,,흰색 얼굴 소품,흰색 커얼 안경,0,0,0,1,0,0,333204,200281,0,23
282,회색 커얼 안경,,회색 얼굴 소품,회색 커얼 안경,0,0,0,1,0,0,398740,200282,0,23
283,빨간색 커얼 안경,,빨간색 얼굴 소품,빨간색 커얼 안경,0,0,0,1,0,0,464276,200283,0,23
284,파란색 커얼 안경,,파란색 얼굴 소품,파란색 커얼 안경,0,0,0,1,0,0,529812,200284,0,23
285,초록색 커얼 안경,,초록색 얼굴 소품,초록색 커얼 안경,0,0,0,1,0,0,595348,200285,0,23
286,구리색 커얼 안경,,구리색 얼굴 소품,구리색 커얼 안경,0,0,0,1,0,0,660884,200286,0,23
287,보라색 커얼 안경,,보라색 얼굴 소품,보라색 커얼 안경,0,0,0,1,0,0,726420,200287,0,23
288,갈색 커얼 안경,,갈색 얼굴 소품,갈색 커얼 안경,0,0,0,1,0,0,791956,200288,0,23
289,독서용 안경,,고유색 얼굴 소품,독서용 안경,0,0,0,1,0,0,71061,200289,0,24
290,은색 독서용 안경,,은색 얼굴 소품,은색 독서용 안경,0,0,0,1,0,0,136597,200290,0,24
291,금색 독서용 안경,,금색 얼굴 소품,금색 독서용 안경,0,0,0,1,0,0,202133,200291,0,24
292,검은색 독서용 안경,,검은색 얼굴 소품,검은색 독서용 안경,0,0,0,1,0,0,267669,200292,0,24
293,흰색 독서용 안경,,흰색 얼굴 소품,흰색 독서용 안경,0,0,0,1,0,0,333205,200293,0,24
294,회색 독서용 안경,,회색 얼굴 소품,회색 독서용 안경,0,0,0,1,0,0,398741,200294,0,24
295,빨간색 독서용 안경,,빨간색 얼굴 소품,빨간색 독서용 안경,0,0,0,1,0,0,464277,200295,0,24
296,파란색 독서용 안경,,파란색 얼굴 소품,파란색 독서용 안경,0,0,0,1,0,0,529813,200296,0,24
297,초록색 독서용 안경,,초록색 얼굴 소품,초록색 독서용 안경,0,0,0,1,0,0,595349,200297,0,24
298,구리색 독서용 안경,,구리색 얼굴 소품,구리색 독서용 안경,0,0,0,1,0,0,660885,200298,0,24
299,보라색 독서용 안경,,보라색 얼굴 소품,보라색 독서용 안경,0,0,0,1,0,0,726421,200299,0,24
300,갈색 독서용 안경,,갈색 얼굴 소품,갈색 독서용 안경,0,0,0,1,0,0,791957,200300,0,24
301,옅은 색안경,,고유색 얼굴 소품,옅은 색안경,0,0,0,1,0,0,71062,200301,0,25
302,옅은 은색 색안경,,은색 얼굴 소품,옅은 은색 색안경,0,0,0,1,0,0,136598,200302,0,25
303,옅은 금색 색안경,,금색 얼굴 소품,옅은 금색 색안경,0,0,0,1,0,0,202134,200303,0,25
304,옅은 검은색 색안경,,검은색 얼굴 소품,옅은 검은색 색안경,0,0,0,1,0,0,267670,200304,0,25
305,옅은 흰색 색안경,,흰색 얼굴 소품,옅은 흰색 색안경,0,0,0,1,0,0,333206,200305,0,25
306,옅은 회색 색안경,,회색 얼굴 소품,옅은 회색 색안경,0,0,0,1,0,0,398742,200306,0,25
307,옅은 빨간색 색안경,,빨간색 얼굴 소품,옅은 빨간색 색안경,0,0,0,1,0,0,464278,200307,0,25
308,옅은 파란색 색안경,,파란색 얼굴 소품,옅은 파란색 색안경,0,0,0,1,0,0,529814,200308,0,25
309,옅은 초록색 색안경,,초록색 얼굴 소품,옅은 초록색 색안경,0,0,0,1,0,0,595350,200309,0,25
310,옅은 구리색 색안경,,구리색 얼굴 소품,옅은 구리색 색안경,0,0,0,1,0,0,660886,200310,0,25
311,옅은 보라색 색안경,,보라색 얼굴 소품,옅은 보라색 색안경,0,0,0,1,0,0,726422,200311,0,25
312,옅은 갈색 색안경,,갈색 얼굴 소품,옅은 갈색 색안경,0,0,0,1,0,0,791958,200312,0,25
313,파티광 선글라스,,고유색 얼굴 소품,파티광 선글라스,0,0,0,1,0,0,71063,200313,0,26
314,은색 파티광 선글라스,,은색 얼굴 소품,은색 파티광 선글라스,0,0,0,1,0,0,136599,200314,0,26
315,금색 파티광 선글라스,,금색 얼굴 소품,금색 파티광 선글라스,0,0,0,1,0,0,202135,200315,0,26
316,검은색 파티광 선글라스,,검은색 얼굴 소품,검은색 파티광 선글라스,0,0,0,1,0,0,267671,200316,0,26
317,흰색 파티광 선글라스,,흰색 얼굴 소품,흰색 파티광 선글라스,0,0,0,1,0,0,333207,200317,0,26
318,회색 파티광 선글라스,,회색 얼굴 소품,회색 파티광 선글라스,0,0,0,1,0,0,398743,200318,0,26
319,빨간색 파티광 선글라스,,빨간색 얼굴 소품,빨간색 파티광 선글라스,0,0,0,1,0,0,464279,200319,0,26
320,파란색 파티광 선글라스,,파란색 얼굴 소품,파란색 파티광 선글라스,0,0,0,1,0,0,529815,200320,0,26
321,초록색 파티광 선글라스,,초록색 얼굴 소품,초록색 파티광 선글라스,0,0,0,1,0,0,595351,200321,0,26
322,구리색 파티광 선글라스,,구리색 얼굴 소품,구리색 파티광 선글라스,0,0,0,1,0,0,660887,200322,0,26
323,보라색 파티광 선글라스,,보라색 얼굴 소품,보라색 파티광 선글라스,0,0,0,1,0,0,726423,200323,0,26
324,갈색 파티광 선글라스,,갈색 얼굴 소품,갈색 파티광 선글라스,0,0,0,1,0,0,791959,200324,0,26
325,그라데이션테 안경,,고유색 얼굴 소품,그라데이션테 안경,0,0,0,1,0,0,71064,200325,0,27
326,은색 그라데이션테 안경,,은색 얼굴 소품,은색 그라데이션테 안경,0,0,0,1,0,0,136600,200326,0,27
327,금색 그라데이션테 안경,,금색 얼굴 소품,금색 그라데이션테 안경,0,0,0,1,0,0,202136,200327,0,27
328,검은색 그라데이션테 안경,,검은색 얼굴 소품,검은색 그라데이션테 안경,0,0,0,1,0,0,267672,200328,0,27
329,흰색 그라데이션테 안경,,흰색 얼굴 소품,흰색 그라데이션테 안경,0,0,0,1,0,0,333208,200329,0,27
330,회색 그라데이션테 안경,,회색 얼굴 소품,회색 그라데이션테 안경,0,0,0,1,0,0,398744,200330,0,27
331,빨간색 그라데이션테 안경,,빨간색 얼굴 소품,빨간색 그라데이션테 안경,0,0,0,1,0,0,464280,200331,0,27
332,파란색 그라데이션테 안경,,파란색 얼굴 소품,파란색 그라데이션테 안경,0,0,0,1,0,0,529816,200332,0,27
333,초록색 그라데이션테 안경,,초록색 얼굴 소품,초록색 그라데이션테 안경,0,0,0,1,0,0,595352,200333,0,27
334,구리색 그라데이션테 안경,,구리색 얼굴 소품,구리색 그라데이션테 안경,0,0,0,1,0,0,660888,200334,0,27
335,보라색 그라데이션테 안경,,보라색 얼굴 소품,보라색 그라데이션테 안경,0,0,0,1,0,0,726424,200335,0,27
336,갈색 그라데이션테 안경,,갈색 얼굴 소품,갈색 그라데이션테 안경,0,0,0,1,0,0,791960,200336,0,27
337,큰테 안경,,고유색 얼굴 소품,큰테 안경,0,0,0,1,0,0,71065,200337,0,28
338,은색 큰테 안경,,은색 얼굴 소품,은색 큰테 안경,0,0,0,1,0,0,136601,200338,0,28
339,금색 큰테 안경,,금색 얼굴 소품,금색 큰테 안경,0,0,0,1,0,0,202137,200339,0,28
340,검은색 큰테 안경,,검은색 얼굴 소품,검은색 큰테 안경,0,0,0,1,0,0,267673,200340,0,28
341,흰색 큰테 안경,,흰색 얼굴 소품,흰색 큰테 안경,0,0,0,1,0,0,333209,200341,0,28
342,회색 큰테 안경,,회색 얼굴 소품,회색 큰테 안경,0,0,0,1,0,0,398745,200342,0,28
343,빨간색 큰테 안경,,빨간색 얼굴 소품,빨간색 큰테 안경,0,0,0,1,0,0,464281,200343,0,28
344,파란색 큰테 안경,,파란색 얼굴 소품,파란색 큰테 안경,0,0,0,1,0,0,529817,200344,0,28
345,초록색 큰테 안경,,초록색 얼굴 소품,초록색 큰테 안경,0,0,0,1,0,0,595353,200345,0,28
346,구리색 큰테 안경,,구리색 얼굴 소품,구리색 큰테 안경,0,0,0,1,0,0,660889,200346,0,28
347,보라색 큰테 안경,,보라색 얼굴 소품,보라색 큰테 안경,0,0,0,1,0,0,726425,200347,0,28
348,갈색 큰테 안경,,갈색 얼굴 소품,갈색 큰테 안경,0,0,0,1,0,0,791961,200348,0,28
349,미스릴 테두리 안대(왼쪽),,고유색 얼굴 소품,미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,71066,200349,0,29
350,은색 미스릴 테두리 안대(왼쪽),,은색 얼굴 소품,은색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,136602,200350,0,29
351,금색 미스릴 테두리 안대(왼쪽),,금색 얼굴 소품,금색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,202138,200351,0,29
352,검은색 미스릴 테두리 안대(왼쪽),,검은색 얼굴 소품,검은색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,267674,200352,0,29
353,흰색 미스릴 테두리 안대(왼쪽),,흰색 얼굴 소품,흰색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,333210,200353,0,29
354,회색 미스릴 테두리 안대(왼쪽),,회색 얼굴 소품,회색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,398746,200354,0,29
355,빨간색 미스릴 테두리 안대(왼쪽),,빨간색 얼굴 소품,빨간색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,464282,200355,0,29
356,파란색 미스릴 테두리 안대(왼쪽),,파란색 얼굴 소품,파란색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,529818,200356,0,29
357,초록색 미스릴 테두리 안대(왼쪽),,초록색 얼굴 소품,초록색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,595354,200357,0,29
358,구리색 미스릴 테두리 안대(왼쪽),,구리색 얼굴 소품,구리색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,660890,200358,0,29
359,보라색 미스릴 테두리 안대(왼쪽),,보라색 얼굴 소품,보라색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,726426,200359,0,29
360,갈색 미스릴 테두리 안대(왼쪽),,갈색 얼굴 소품,갈색 미스릴 테두리 안대(왼쪽),0,0,0,1,0,0,791962,200360,0,29
361,미스릴 테두리 안대(오른쪽),,고유색 얼굴 소품,미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,71067,200361,0,30
362,은색 미스릴 테두리 안대(오른쪽),,은색 얼굴 소품,은색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,136603,200362,0,30
363,금색 미스릴 테두리 안대(오른쪽),,금색 얼굴 소품,금색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,202139,200363,0,30
364,검은색 미스릴 테두리 안대(오른쪽),,검은색 얼굴 소품,검은색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,267675,200364,0,30
365,흰색 미스릴 테두리 안대(오른쪽),,흰색 얼굴 소품,흰색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,333211,200365,0,30
366,회색 미스릴 테두리 안대(오른쪽),,회색 얼굴 소품,회색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,398747,200366,0,30
367,빨간색 미스릴 테두리 안대(오른쪽),,빨간색 얼굴 소품,빨간색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,464283,200367,0,30
368,파란색 미스릴 테두리 안대(오른쪽),,파란색 얼굴 소품,파란색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,529819,200368,0,30
369,초록색 미스릴 테두리 안대(오른쪽),,초록색 얼굴 소품,초록색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,595355,200369,0,30
370,구리색 미스릴 테두리 안대(오른쪽),,구리색 얼굴 소품,구리색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,660891,200370,0,30
371,보라색 미스릴 테두리 안대(오른쪽),,보라색 얼굴 소품,보라색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,726427,200371,0,30
372,갈색 미스릴 테두리 안대(오른쪽),,갈색 얼굴 소품,갈색 미스릴 테두리 안대(오른쪽),0,0,0,1,0,0,791963,200372,0,30
373,화려한 가죽 안대(왼쪽),,고유색 얼굴 소품,화려한 가죽 안대(왼쪽),0,0,0,1,0,0,71068,200373,0,31
374,은색 화려한 가죽 안대(왼쪽),,은색 얼굴 소품,은색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,136604,200374,0,31
375,금색 화려한 가죽 안대(왼쪽),,금색 얼굴 소품,금색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,202140,200375,0,31
376,검은색 화려한 가죽 안대(왼쪽),,검은색 얼굴 소품,검은색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,267676,200376,0,31
377,흰색 화려한 가죽 안대(왼쪽),,흰색 얼굴 소품,흰색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,333212,200377,0,31
378,회색 화려한 가죽 안대(왼쪽),,회색 얼굴 소품,회색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,398748,200378,0,31
379,빨간색 화려한 가죽 안대(왼쪽),,빨간색 얼굴 소품,빨간색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,464284,200379,0,31
380,파란색 화려한 가죽 안대(왼쪽),,파란색 얼굴 소품,파란색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,529820,200380,0,31
381,초록색 화려한 가죽 안대(왼쪽),,초록색 얼굴 소품,초록색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,595356,200381,0,31
382,구리색 화려한 가죽 안대(왼쪽),,구리색 얼굴 소품,구리색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,660892,200382,0,31
383,보라색 화려한 가죽 안대(왼쪽),,보라색 얼굴 소품,보라색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,726428,200383,0,31
384,갈색 화려한 가죽 안대(왼쪽),,갈색 얼굴 소품,갈색 화려한 가죽 안대(왼쪽),0,0,0,1,0,0,791964,200384,0,31
385,화려한 가죽 안대(오른쪽),,고유색 얼굴 소품,화려한 가죽 안대(오른쪽),0,0,0,1,0,0,71069,200385,0,32
386,은색 화려한 가죽 안대(오른쪽),,은색 얼굴 소품,은색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,136605,200386,0,32
387,금색 화려한 가죽 안대(오른쪽),,금색 얼굴 소품,금색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,202141,200387,0,32
388,검은색 화려한 가죽 안대(오른쪽),,검은색 얼굴 소품,검은색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,267677,200388,0,32
389,흰색 화려한 가죽 안대(오른쪽),,흰색 얼굴 소품,흰색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,333213,200389,0,32
390,회색 화려한 가죽 안대(오른쪽),,회색 얼굴 소품,회색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,398749,200390,0,32
391,빨간색 화려한 가죽 안대(오른쪽),,빨간색 얼굴 소품,빨간색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,464285,200391,0,32
392,파란색 화려한 가죽 안대(오른쪽),,파란색 얼굴 소품,파란색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,529821,200392,0,32
393,초록색 화려한 가죽 안대(오른쪽),,초록색 얼굴 소품,초록색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,595357,200393,0,32
394,구리색 화려한 가죽 안대(오른쪽),,구리색 얼굴 소품,구리색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,660893,200394,0,32
395,보라색 화려한 가죽 안대(오른쪽),,보라색 얼굴 소품,보라색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,726429,200395,0,32
396,갈색 화려한 가죽 안대(오른쪽),,갈색 얼굴 소품,갈색 화려한 가죽 안대(오른쪽),0,0,0,1,0,0,791965,200396,0,32
397,스카이와 머리장비,,고유색 얼굴 소품,스카이와 머리장비,0,0,0,1,0,0,71070,200397,0,33
398,은색 스카이와 머리장비,,은색 얼굴 소품,은색 스카이와 머리장비,0,0,0,1,0,0,136606,200398,0,33
399,금색 스카이와 머리장비,,금색 얼굴 소품,금색 스카이와 머리장비,0,0,0,1,0,0,202142,200399,0,33
400,검은색 스카이와 머리장비,,검은색 얼굴 소품,검은색 스카이와 머리장비,0,0,0,1,0,0,267678,200400,0,33
401,흰색 스카이와 머리장비,,흰색 얼굴 소품,흰색 스카이와 머리장비,0,0,0,1,0,0,333214,200401,0,33
402,회색 스카이와 머리장비,,회색 얼굴 소품,회색 스카이와 머리장비,0,0,0,1,0,0,398750,200402,0,33
403,빨간색 스카이와 머리장비,,빨간색 얼굴 소품,빨간색 스카이와 머리장비,0,0,0,1,0,0,464286,200403,0,33
404,파란색 스카이와 머리장비,,파란색 얼굴 소품,파란색 스카이와 머리장비,0,0,0,1,0,0,529822,200404,0,33
405,초록색 스카이와 머리장비,,초록색 얼굴 소품,초록색 스카이와 머리장비,0,0,0,1,0,0,595358,200405,0,33
406,구리색 스카이와 머리장비,,구리색 얼굴 소품,구리색 스카이와 머리장비,0,0,0,1,0,0,660894,200406,0,33
407,보라색 스카이와 머리장비,,보라색 얼굴 소품,보라색 스카이와 머리장비,0,0,0,1,0,0,726430,200407,0,33
408,갈색 스카이와 머리장비,,갈색 얼굴 소품,갈색 스카이와 머리장비,0,0,0,1,0,0,791966,200408,0,33
409,,,,,0,0,0,0,0,0,0,0,0,0
410,,,,,0,0,0,0,0,0,0,0,0,0
411,,,,,0,0,0,0,0,0,0,0,0,0
412,,,,,0,0,0,0,0,0,0,0,0,0
413,,,,,0,0,0,0,0,0,0,0,0,0
414,,,,,0,0,0,0,0,0,0,0,0,0
415,,,,,0,0,0,0,0,0,0,0,0,0
416,,,,,0,0,0,0,0,0,0,0,0,0
417,,,,,0,0,0,0,0,0,0,0,0,0
418,,,,,0,0,0,0,0,0,0,0,0,0
419,,,,,0,0,0,0,0,0,0,0,0,0
420,,,,,0,0,0,0,0,0,0,0,0,0
421,전술 고글,,고유색 얼굴 소품,전술 고글,0,0,0,1,0,0,71072,200421,0,35
422,은색 전술 고글,,은색 얼굴 소품,은색 전술 고글,0,0,0,1,0,0,136608,200422,0,35
423,금색 전술 고글,,금색 얼굴 소품,금색 전술 고글,0,0,0,1,0,0,202144,200423,0,35
424,검은색 전술 고글,,검은색 얼굴 소품,검은색 전술 고글,0,0,0,1,0,0,267680,200424,0,35
425,흰색 전술 고글,,흰색 얼굴 소품,흰색 전술 고글,0,0,0,1,0,0,333216,200425,0,35
426,회색 전술 고글,,회색 얼굴 소품,회색 전술 고글,0,0,0,1,0,0,398752,200426,0,35
427,빨간색 전술 고글,,빨간색 얼굴 소품,빨간색 전술 고글,0,0,0,1,0,0,464288,200427,0,35
428,파란색 전술 고글,,파란색 얼굴 소품,파란색 전술 고글,0,0,0,1,0,0,529824,200428,0,35
429,초록색 전술 고글,,초록색 얼굴 소품,초록색 전술 고글,0,0,0,1,0,0,595360,200429,0,35
430,구리색 전술 고글,,구리색 얼굴 소품,구리색 전술 고글,0,0,0,1,0,0,660896,200430,0,35
431,보라색 전술 고글,,보라색 얼굴 소품,보라색 전술 고글,0,0,0,1,0,0,726432,200431,0,35
432,갈색 전술 고글,,갈색 얼굴 소품,갈색 전술 고글,0,0,0,1,0,0,791968,200432,0,35
433,차광 눈가리개,,고유색 얼굴 소품,차광 눈가리개,0,0,0,1,0,0,71073,200433,0,36
434,은색 차광 눈가리개,,은색 얼굴 소품,은색 차광 눈가리개,0,0,0,1,0,0,136609,200434,0,36
435,금색 차광 눈가리개,,금색 얼굴 소품,금색 차광 눈가리개,0,0,0,1,0,0,202145,200435,0,36
436,검은색 차광 눈가리개,,검은색 얼굴 소품,검은색 차광 눈가리개,0,0,0,1,0,0,267681,200436,0,36
437,흰색 차광 눈가리개,,흰색 얼굴 소품,흰색 차광 눈가리개,0,0,0,1,0,0,333217,200437,0,36
438,회색 차광 눈가리개,,회색 얼굴 소품,회색 차광 눈가리개,0,0,0,1,0,0,398753,200438,0,36
439,빨간색 차광 눈가리개,,빨간색 얼굴 소품,빨간색 차광 눈가리개,0,0,0,1,0,0,464289,200439,0,36
440,파란색 차광 눈가리개,,파란색 얼굴 소품,파란색 차광 눈가리개,0,0,0,1,0,0,529825,200440,0,36
441,초록색 차광 눈가리개,,초록색 얼굴 소품,초록색 차광 눈가리개,0,0,0,1,0,0,595361,200441,0,36
442,구리색 차광 눈가리개,,구리색 얼굴 소품,구리색 차광 눈가리개,0,0,0,1,0,0,660897,200442,0,36
443,보라색 차광 눈가리개,,보라색 얼굴 소품,보라색 차광 눈가리개,0,0,0,1,0,0,726433,200443,0,36
444,갈색 차광 눈가리개,,갈색 얼굴 소품,갈색 차광 눈가리개,0,0,0,1,0,0,791969,200444,0,36
445,,,,,0,0,0,0,0,0,0,0,0,0
446,,,,,0,0,0,0,0,0,0,0,0,0
447,,,,,0,0,0,0,0,0,0,0,0,0
448,,,,,0,0,0,0,0,0,0,0,0,0
449,,,,,0,0,0,0,0,0,0,0,0,0
450,,,,,0,0,0,0,0,0,0,0,0,0
451,,,,,0,0,0,0,0,0,0,0,0,0
452,,,,,0,0,0,0,0,0,0,0,0,0
453,,,,,0,0,0,0,0,0,0,0,0,0
454,,,,,0,0,0,0,0,0,0,0,0,0
455,,,,,0,0,0,0,0,0,0,0,0,0
456,,,,,0,0,0,0,0,0,0,0,0,0
457,교수 안경,,고유색 얼굴 소품,교수 안경,0,0,0,1,0,0,71075,200457,0,38
458,은색 교수 안경,,은색 얼굴 소품,은색 교수 안경,0,0,0,1,0,0,136611,200458,0,38
459,금색 교수 안경,,금색 얼굴 소품,금색 교수 안경,0,0,0,1,0,0,202147,200459,0,38
460,검은색 교수 안경,,검은색 얼굴 소품,검은색 교수 안경,0,0,0,1,0,0,267683,200460,0,38
461,흰색 교수 안경,,흰색 얼굴 소품,흰색 교수 안경,0,0,0,1,0,0,333219,200461,0,38
