#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
215,"/매크로오류 보조명령어
매크로 전용 명령어로, 잘못된 매크로 형식 등으로 인해 발생하는 오류 알림의 표시 여부를 설정합니다. 기본적으로 오류를 표시하도록 설정되어 있으며, 매크로 내용 중에서 끄기로 설정하더라도 다른 매크로를 실행할 때는 켜기 설정으로 돌아갑니다.
보조명령어
켜기(on) 
 …오류 알림을 표시합니다.
끄기(off) 
 …오류 알림을 표시하지 않습니다.
※ 보조명령어 생략
 …오류 알림 표시 설정을 전환합니다.",/매크로오류,,/macroerror,/merror,0,36,2,1,2,0,0
216,"/로그삭제
로그 내용을 모두 삭제합니다.",/로그삭제,,/clearlog,/cl,0,509,1,0,0,0,0
217,"/매크로취소
실행 중인 매크로를 정지합니다. 대화 입력란에서만 사용할 수 있습니다.",/매크로취소,,/macrocancel,/mcancel,0,165,0,0,0,0,0
218,"/누적플레이(/누적)
현재 캐릭터의 누적 플레이 시간을 표시합니다.",/누적플레이,/누적,/playtime,/ptime,0,60,1,0,0,0,0
219,"/단체자세(/단체)
모든 파티원이 동시에 같은 자세를 취합니다.

>>실행 중 조작
카메라 설정 창 표시
　… / [R], 숫자패드 [*] / 마우스 휠 클릭
카메라 바라보기 설정/해제
　… / [스페이스 바]
카메라 위치에 조명 설치
　… / [X]
동작 멈추기(전체)
　… / [1]
동작 멈추기(선택한 대상)
　… / [2]
주시할 캐릭터 변경
　… / [tab,shift+tab]
카메라 조작
　… / [W,A,S,D,Q,E]
카메라 초기화
　… / [Z]",/단체자세,/단체,/grouppose,/gpose,0,160,1,0,0,0,0
220,"/아이템검색 문자열
아이템 이름 일부를 입력하면 해당 아이템을 보유하고 있는지 검색합니다.
검색 범위는 현재 장비, 소지품, 장비함, 초코보 가방, 집사 소지품, 집사 장비, 추억의 보관함, 환상의 옷장입니다.
대화창에 직접 입력해야 하며, 매크로로는 쓸 수 없습니다.

용례
/아이템검색 포션
 …이름에 '포션'이 포함되는 아이템을 가지고 있는지 검색합니다.",/아이템검색,,/itemsearch,/isearch,3000,32,2,0,0,0,0
221,"/경관카메라 ""대명사""
경관 카메라를 실행합니다.
대명사는 생략 가능하며, 생략할 경우 다양한 시점에서 주위를 둘러봅니다. 대명사를 지정하면 카메라가 해당 캐릭터를 주시합니다.

>>세부 조작
카메라 설정 창 표시
 … / [R], 숫자패드 [*] / 마우스 휠 클릭
카메라 시점 전환 정지 및 재개
 … / 숫자패드 [0] / 왼쪽 클릭
장면 건너뛰기
 … / [tab,shift+tab]
카메라 조작
 … / [W,A,S,D,Q,E]
카메라 초기화
 … / [Z]
용례
/경관카메라
 …피사체를 무작위로 선택하여 실행합니다.
/경관카메라 <t>
 …지정한 대상만을 피사체로 선택하여 실행합니다.",/경관카메라,/경관,/idlingcamera,/icam,0,40,2,0,0,0,0
222,,,,,,0,0,0,0,0,0,0
223,"/결투거절 보조명령어
결투 자동 거절 여부를 변경합니다.
이 설정은 결투 신청이 가능한 지역에서만 유효합니다.
>>보조명령어
켜기(on)
 …결투 신청을 자동으로 거절합니다.
끄기(off)
 …결투 신청을 허용합니다.
※ 보조명령어 생략
 …설정을 전환합니다.

용례
/결투거절 켜기
 …결투 신청을 자동으로 거절합니다.",/결투거절,,/duelswitch,,0,4,2,1,2,0,0
224,"/초보자채널초대(/초보초대) 보조명령어
초보자 채널 초대 받기 설정을 변경합니다.
>>보조명령어
켜기(on)
 …초대를 받습니다.
끄기(off)
 …초대를 자동으로 거절합니다.
※ 보조명령어 생략
 …설정을 전환합니다.

용례
/초보자채널초대 켜기
 …초대를 받습니다.",/초보자채널초대,/초보초대,/beginnerchannelinvitation,/bchannelinvitation,1000,189,2,1,2,0,0
225,"/초보자채널퇴장(/초보퇴장)
초보자 채널에서 퇴장합니다.
※ 초보자 및 복귀자만 사용할 수 있습니다.",/초보자채널퇴장,/초보퇴장,/beginnerchannelleave,/bchannelleave,1000,189,1,0,0,0,0
226,"/에기외형(/소환수외형) ""소환수 이름"" ""외형 이름""
다음부터 소환하는 소환수의 외형을 변경합니다.
단, PvP 임무 중에는 적용되지 않습니다.
>>소환수 이름
""카벙클""
""가루다 에기""
""타이탄 에기""
""이프리트 에기""
""요정 에오스""
>>외형 이름
""카벙클""
""카벙클 에메랄드""
""카벙클 토파즈""
""카벙클 루비""
""이프리트 에기""
""타이탄 에기""
""가루다 에기""
""요정 셀레네""
※ 외형 이름 생략(clear)
  …소환수의 모습을 원래대로 되돌립니다.
※ 보조명령어 생략
  …소환수 외형 설정 상태가 대화창에 표시됩니다.

  용례
/에기외형 ""가루다 에기"" ""카벙클 루비""
  …가루다 에기의 외형을 카벙클 루비로 변경합니다./에기외형 ""가루다 에기""
  …가루다 에기의 외형을 원래대로 되돌립니다.
/에기외형
  …소환수 외형 설정 상태를 대화창에 표시합니다.",/에기외형,/소환수외형,/egiglamour,,0,36,3,2,7,15,0
227,"/칭호 보조명령어
칭호를 변경합니다.
>>보조명령어
설정(set) ""칭호""
　…설정한 칭호로 변경합니다.
해제(clear)
　…칭호를 해제합니다.
※ 보조명령어 생략
　…가지고 있는 칭호 중에서 무작위로 변경됩니다.

용례
/칭호 설정 ""파티의 소금""
　…칭호를 ""파티의 소금""으로 변경합니다.",/칭호,,/title,,1000,36,3,1,2,0,0
228,"/바하무트크기
자신의 화면에 보이는 데미바하무트의 크기를 변경할 수 있다고 여겨졌던 기능.
※ 해당 명령어는 '/소환수크기'로 통합되었습니다. 앞으로는 이 명령어를 사용해 주세요.",/바하무트크기,,/bahamutsize,,0,36,2,1,2,0,0
229,"/알람 보조명령어
알람을 설정합니다.
>>보조명령어
""알람 이름"" 시간 유형(lt, st, et) 반복 유무(반복) 설정 시각(0000-2400) 미리 알림(0-60) 알림음 번호(알림음00-알림음05) 임무 중 알림음 음소거(음소거)
 …알람을 설정합니다. 시간 유형 다음에 ""반복""을 넣으면 알람이 반복 실행됩니다. 알림음 번호를 설정하면 지정한 소리가 재생됩니다. 임무 중 알림음 음소거를 설정하면 임무 중에는 알림음이 나지 않습니다. 반복 유무와 미리 알림, 알림음 번호, 임무 중 알림음 음소거는 생략할 수 있습니다.
해제(clear)
 …알람을 모두 삭제합니다.
※ 보조명령어 생략
 …알람 창을 엽니다.

>>시간 유형
lt… 현실 시간으로 알람을 설정합니다.
st… 서버 시간으로 알람을 설정합니다.
et… 에오르제아 시간으로 알람을 설정합니다.

용례
/알람 ""집합 시간"" lt 2000 10 알림음04
 …""집합 시간""이라는 이름으로, 현실 시간 20시 10분 전에 울리는 알람을 설정합니다.
/알람 ""휴식"" lt 반복 30 알림음05
 …""휴식""이라는 이름으로, 현실 시간 매시 30분에 울리는 알람을 설정합니다.",/알람,,/alarm,,0,32,8,3,2,2,2
230,,,,,,0,0,0,0,0,0,0
231,"/다른용무중 보조명령어
접속 상태를 '다른 용무 중'으로 설정합니다.
>>보조명령어
켜기(on) 
 …'다른 용무 중'으로 설정합니다.
끄기(off) 
 …'접속 중'으로 설정합니다.
※ 보조명령어 생략
 …'다른 용무 중'과 '접속 중'을 전환합니다.",/다른용무중,,/busy,,0,36,2,1,2,0,0
232,"/자리비움 보조명령어
접속 상태를 '자리 비움'으로 설정합니다.
>>보조명령어
켜기(on) 
 …'자리 비움'으로 설정합니다.
끄기(off) 
 …'접속 중'으로 설정합니다.
※ 보조명령어 생략
 …'자리 비움'과 '접속 중'을 전환합니다.",/자리비움,,/away,/afk,0,36,2,1,2,0,0
233,"/파티희망 보조명령어 직업
접속 상태를 지정 직업으로 '파티 가입 희망'으로 설정합니다.
>>보조명령어
켜기(on) 
 …'파티 가입 희망' 상태로 설정합니다.
끄기(off) 
 …'접속 중'으로 설정합니다.
※ 보조명령어 생략
 …'파티 가입 희망'과 '접속 중'을 전환합니다.
>>직업(※ 순서 없이 복수 지정 가능)
나이트(PLD) / 검술사(GLA) / 전사(WAR) / 도끼술사(MRD) / 암흑기사(DRK) / 건브레이커(GNB) / 백마도사(WHM) / 환술사(CNJ) / 학자(SCH) / 점성술사(AST) / 현자(SGE) / 몽크(MNK) / 격투사(PGL) / 용기사(DRG) / 창술사(LNC) / 닌자(NIN) / 쌍검사(ROG) / 사무라이(SAM) / 리퍼(RPR) / 바이퍼(VPR) / 음유시인(BRD) / 궁술사(ARC) / 기공사(MCH) / 무도가(DNC) / 흑마도사(BLM) / 주술사(THM) / 소환사(SMN) / 비술사(ACN) / 적마도사(RDM) / 픽토맨서(PCT) / 청마도사(BLU) / 목수(CRP) / 대장장이(BSM) / 갑주제작사(ARM) / 보석공예가(GSM) / 가죽공예가(LTW) / 재봉사(WVR) / 연금술사(ALC) / 요리사(CUL) / 광부(MIN) / 원예가(BTN) / 어부(FSH)
※ 생략한 경우에는 현재 직업으로 지정합니다.",/파티희망,,/lookingforparty,/lfp,0,36,1,0,0,0,0
234,"/마테리아 보조명령어
접속 상태를 '마테리아 장착 대행 중'으로 설정합니다.
>>보조명령어
켜기(on) 
 …'마테리아 장착 대행 중'으로 설정합니다.
끄기(off) 
 …'접속 중'으로 설정합니다.
※ 보조명령어 생략
 …'마테리아 장착 대행 중'과 '접속 중'을 전환합니다.",/마테리아,,/lookingformeld,/lfm,0,36,2,1,2,0,0
235,"/검색소개말 내용
입력한 내용을 검색 소개말로 설정합니다.",/검색소개말,,/searchcomment,/scomment,0,36,1,0,0,0,0
236,"/초보상태(/새싹) 보조명령어
초보자 상태를 변경합니다.
>>보조명령어
켜기(on)
 …상태를 초보자로 설정합니다.
끄기(off)
 …초보자 상태를 해제합니다.
※ 보조명령어 생략
 …초보자 상태를 전환합니다.

용례
/초보상태 켜기
 …초보자 상태로 설정합니다.
",/초보상태,/새싹,/beginnerstatus,/bstatus,1000,36,2,1,2,0,0
237,"/초보자채널 보조명령어
멘토의 초보자 채널 자동 참가 설정을 변경합니다.
>>보조명령어
켜기(on)
 …자동 참가 설정을 켜고, 초보자 채널 입장을 시도합니다.
끄기(off)
 …자동 참가 설정을 끄고, 초보자 채널에서 퇴장합니다.
※ 보조명령어 생략
 …자동 참가 설정을 전환합니다.

용례
/초보자채널 켜기
 …초보자 채널에 빈자리가 있을 경우, 자동으로 참가하도록 설정합니다.
",/초보자채널,/초보채널,/beginnerchannel,/bchannel,1000,36,2,1,2,0,0
238,"/복귀자끄기
복귀자 상태를 해제합니다.",/복귀자끄기,,/returnerstatusoff,,1000,36,1,0,0,0,0
239,"/역할극 보조명령어
접속 상태를 '역할극 중'으로 설정합니다.
>>보조명령어
켜기(on)
　…'역할극 중'으로 바꿉니다.
끄기(off)
　…'접속 중'으로 바꿉니다.
※ 보조명령어 생략
　…'역할극 중'과 '접속 중'을 전환합니다.",/역할극,,/roleplaying,,0,36,2,1,2,0,0
240,,,,,,0,0,0,0,0,0,0
241,,,,,,0,0,0,0,0,0,0
242,,,,,,0,0,0,0,0,0,0
243,,,,,,0,0,0,0,0,0,0
244,,,,,,0,0,0,0,0,0,0
245,,,,,,0,0,0,0,0,0,0
246,,,,,,0,0,0,0,0,0,0
247,,,,,,0,0,0,0,0,0,0
248,,,,,,0,0,0,0,0,0,0
249,,,,,,0,0,0,0,0,0,0
250,,,,,,0,0,0,0,0,0,0
251,"/기술시전(/시전) ""기술 이름"" ""대명사""
지정한 대상에게 기술을 실행합니다. 기술을 실행할 수 없는 상황이거나, 아직 습득하지 않은 기술인 경우에는 실행할 수 없습니다.

지면 조준형 기술은 기술 이름 뒤에 아래 보조명령어를 입력하면 조작 모드를 제어할 수 있습니다.
대명사
　…지면 조준 모드를 생략하고, 지정한 대상 기준으로 지면 조준형 기술을 직접 실행합니다.
지면조준끄기(gtoff)
　…지면 조준 모드를 생략하고 기술을 직접 실행합니다.

용례
/기술시전 ""육중한 일격"" <t>
　…선택한 대상에게 '육중한 일격'을 실행합니다.
/기술시전 ""케알"" <2>
 …2번 파티원에게 '케알'을 실행합니다.
/기술시전 ""축지법"" <t>
　…선택한 대상이 있는 위치로 '축지법'을 실행합니다.
/기술시전 ""축지법"" 지면조준끄기
　…커서 위치로 '축지법'을 직접 실행합니다.",/기술시전,/시전,/action,/ac,0,36,3,2,3,2,0
252,"/무기 보조명령어
무기 넣기/꺼내기를 실행합니다.
>>보조명령어
켜기(on) 
 …무기를 꺼냅니다.
끄기(off) 
 …무기를 넣습니다.
※ 보조명령어 생략
 …무기 넣기/꺼내기를 전환합니다.",/무기,,/battlemode,/bm,0,36,2,1,2,0,0
253,"/대상지정(/대상) ""대명사""
지정한 캐릭터를 대상으로 지정합니다. 일정 범위 안에 존재하지 않을 경우 대상으로 지정할 수 없습니다.

용례
/대상지정 <2>
 …2번 파티원을 대상으로 지정합니다.",/대상지정,/대상,/target,/ta,0,36,2,0,0,0,0
254,"/플레이어대상
일정 범위 안에 있는 플레이어 중 가장 가까운 플레이어를 대상으로 지정합니다.",/플레이어대상,,/targetpc,/tpc,0,36,1,0,0,0,0
255,"/기타대상
일정 범위 안에 있는 NPC나 사물 중 가장 가까운 대상을 현재 대상으로 지정합니다.",/기타대상,,/targetnpc,/tnpc,0,36,1,0,0,0,0
256,"/적대상(/적)
일정 범위 안에 있는 적 중 가장 가까운 적을 대상으로 지정합니다.",/적대상,/적,/targetenemy,/tenemy,0,36,1,0,0,0,0
257,"/전투대상
자신에 대해 적개심을 가진 적 중 가장 가까운 적을 대상으로 지정합니다.",/전투대상,,/battletarget,/bt,0,36,1,0,0,0,0
258,"/지원대상 ""대명사""
지정한 캐릭터의 현재 대상을 자신의 대상으로 지정합니다.

용례
/지원대상 <t>
 …현재 선택한 캐릭터의 대상을 자신의 대상으로 선택합니다.
/지원대상 <2>
 …2번 파티원이 선택한 대상을 자신의 대상으로 선택합니다.",/지원대상,,/assist,/as,0,36,2,0,0,0,0
259,"/대상보기
현재 대상을 향해 자신의 몸을 돌립니다.",/대상보기,,/facetarget,/ft,0,36,1,0,0,0,0
260,"/오른쪽대상
화면 오른쪽에 있는 적부터 대상으로 지정합니다.",/오른쪽대상,,/nexttarget,/nt,0,36,1,0,0,0,0
261,"/왼쪽대상
화면 왼쪽에 있는 적부터 대상으로 지정합니다.",/왼쪽대상,,/previoustarget,,0,36,1,0,0,0,0
262,"/최근대상
가장 최근에 대상으로 지정한 캐릭터를 현재 대상으로 지정합니다.",/최근대상,,/targetlasttarget,/tlt,0,36,1,0,0,0,0
263,"/최근적
가장 최근에 대상으로 지정한 적을 현재 대상으로 지정합니다.",/최근적,,/targetlastenemy,/tle,0,36,1,0,0,0,0
264,"/대상고정 보조명령어
현재 대상으로 대상을 고정/해제합니다.
>>보조명령어
켜기(on) 
 …대상을 고정합니다.
끄기(off) 
 …대상 고정을 해제합니다.
※ 보조명령어 생략
 …대상 고정/해제를 전환합니다.",/대상고정,,/lockon,/lo,0,36,2,1,2,0,0
265,"/주시대상(/주시) ""대명사""
지정한 캐릭터나 사물을 주시 대상으로 설정합니다. 대명사를 생략한 경우에는 현재 선택 중인 대상을 주시합니다.

용례
/주시대상 <t>
 …선택한 대상을 주시 대상으로 설정합니다.",/주시대상,/주시,/focustarget,,0,36,2,0,0,0,0
266,,,,,,0,0,0,0,0,0,0
267,"/소환수시전 ""소환수 기술 이름"" ""대명사""
지정한 캐릭터를 대상으로 소환수 기술을 실행합니다. 자신 또는 소환수를 대상으로 실행할 수 있는 기술일 경우에는 대명사를 생략할 수 있습니다. 소환수 기술을 실행할 수 없는 상황이거나, 아직 습득하지 않은 소환수 기술인 경우에는 실행할 수 없습니다.

용례
/소환수시전 ""빛의 치유"" <t>
 …대상에게 '빛의 치유'를 시전합니다.",/소환수시전,,/petaction,/pac,0,36,3,2,5,2,0
268,"/버디시전 ""버디 기술 이름""
지정한 버디 기술을 실행합니다. 버디 기술은 대상 캐릭터를 지정할 필요가 없습니다. 버디 기술을 실행할 수 없는 상황이거나, 버디 기술이 아닌 기술을 지정했을 때, 또는 아직 습득하지 않은 버디 기술인 경우에는 실행할 수 없습니다.

용례
/버디시전 ""자유 전투""
 …버디에게 '자유 전투'를 명령합니다.",/버디시전,/bac,/companionaction,/cac,0,36,2,1,6,0,0
269,"/카메라보기
내 캐릭터의 시선이 카메라를 향하도록 고정합니다. 다시 한 번 실행하면 해제됩니다.",/카메라보기,,/facecamera,/fcam,0,36,1,0,0,0,0
270,"/레벨조율(/조율) 보조명령어
돌발 임무 등의 임무에서 레벨 조율이 가능한 상태일 경우 레벨 조율을 실행합니다.
>>보조명령어
켜기(on) 
 …레벨 조율을 실행합니다.
끄기(off) 
 …레벨 조율을 해제합니다.
※ 보조명령어 생략
 …레벨 조율 실행/해제를 전환합니다.",/레벨조율,/조율,/levelsync,/lsync,0,36,2,1,2,0,0
271,"/탈것(/타기) ""탈것 이름""
지정한 탈것에 탑승합니다. 탑승 중인 경우에는 탈것에서 내립니다. 탈것 이름을 생략한 경우, 현재 탈것에서 내립니다. 비행 중인 경우에는 급강하를 실행합니다.

용례
/탈것 ""내 초코보""
 …탈것 '내 초코보'에 탑승합니다.",/탈것,/타기,/mount,,0,36,2,1,9,0,0
272,"/보조기술
보조 기술을 설정할 수 있다고 여겨졌던 기능.
※ 시스템이 변경되어 현재 이용할 수 없습니다.",/보조기술,,/additionalaction,/aaction,1000,36,3,2,3,2,0
273,"/일반기술시전 ""일반 기술 이름"" ""대명사""
지정한 캐릭터를 대상으로 일반 기술을 실행합니다. 일반 기술을 실행할 수 없는 상황이거나, 아직 습득하지 않은 경우에는 실행할 수 없습니다.

지면 조준형 기술은 기술 이름 뒤에 아래 보조명령어를 입력하면 조작 모드를 제어할 수 있습니다.
대명사
 …지면 조준 모드를 생략하고, 지정한 대상 기준으로 기술을 직접 실행합니다.
지면조준끄기(gtoff)
 …지면 조준 모드를 생략하고, 기술을 직접 실행합니다.
용례
/일반기술시전 ""탈것 무작위 호출""
 …'탈것 무작위 호출'을 실행합니다.
/일반기술시전 ""임무용 기술 1""<t>
 …선택한 대상에게 '임무용 기술 1'을 실행합니다.",/일반기술시전,,/generalaction,/gaction,0,36,3,2,10,2,0
274,"/꼬마친구 ""꼬마 친구 이름""
지정한 꼬마 친구를 불러냅니다. 이미 나와 있는 꼬마 친구를 지정하거나, 꼬마 친구 이름을 생략한 경우에는 해당 꼬마 친구를 돌려보냅니다.

용례
/꼬마친구 ""초코초코보""
 …꼬마 친구 '초코초코보'를 불러냅니다.",/꼬마친구,,/minion,,0,36,2,1,8,0,0
275,"/버프해제 ""강화 효과 이름""
지정한 강화 효과 상태를 해제합니다.

용례
/버프해제 ""철벽 방어""
 …강화 효과 '철벽 방어'를 해제합니다.",/버프해제,,/statusoff,,0,36,2,0,0,0,0
276,"/대인보조기술(/대인기술설정)
PvP 전용 보조 기술을 설정할 수 있다고 여겨졌던 기능.
※ 시스템이 변경되어 현재 이용할 수 없습니다.",/대인보조기술,/대인기술설정,/addpvpaction,/apa,1000,36,3,0,0,0,0
277,"/대인기술시전(/대인시전) ""PvP 기술 이름"" ""대명사""
대상에게 PvP 기술을 실행합니다. 기술을 실행할 수 없는 상황이거나, 아직 습득하지 않은 기술인 경우에는 실행할 수 없습니다.
지면 조준형 기술은 기술 이름 뒤에 아래 보조명령어를 입력하면 조작 모드를 제어할 수 있습니다.
대명사
　…지면 조준 모드를 생략하고, 지정한 대상 기준으로 지면 조준형 기술을 직접 실행합니다.
지면조준끄기(gtoff)
　…지면 조준 모드를 생략하고 기술을 직접 실행합니다.

용례
/대인기술시전 ""폭풍 쐐기 콤보"" <t>
　…선택한 대상에게 폭풍 쐐기 콤보 기술을 실행합니다.
/대인기술시전 ""축지법""  <t>
　…선택한 대상이 있는 위치로 '축지법'을 실행합니다.
/대인기술시전 ""축지법"" 지면조준끄기
　…커서 위치로 '축지법'을 직접 실행합니다.",/대인기술시전,/대인시전,/pvpaction,/pvpac,0,4,3,2,16,2,0
278,,,,,,0,0,0,0,0,0,0
279,"/청마법 ""청마법 이름"" ""대명사""
대명사로 지정한 대상에게 청마법을 시전합니다. 기술을 실행할 수 없는 환경에 있거나, 기술을 체득하지 않은 경우 실행할 수 없습니다.
지면 조준형 기술은 기술 이름 뒤에 아래 보조명령어를 입력하면 조작 모드를 제어할 수 있습니다.
대명사
　…지면 조준 모드를 생략하고, 지정한 대상 기준으로 지면 조준형 기술을 직접 실행합니다.
지면조준끄기(gtoff)
　…지면 조준 모드를 생략하고 기술을 직접 실행합니다.

용례
/청마법 ""물대포"" <t>
　…선택한 대상에게 '물대포'를 시전합니다.",/청마법,,/blueaction,,0,36,3,2,18,2,0
280,,,,,,0,0,0,0,0,0,0
281,,,,,,0,0,0,0,0,0,0
282,,,,,,0,0,0,0,0,0,0
283,,,,,,0,0,0,0,0,0,0
284,,,,,,0,0,0,0,0,0,0
285,,,,,,0,0,0,0,0,0,0
286,,,,,,0,0,0,0,0,0,0
287,,,,,,0,0,0,0,0,0,0
288,,,,,,0,0,0,0,0,0,0
289,,,,,,0,0,0,0,0,0,0
290,,,,,,0,0,0,0,0,0,0
291,,,,,,0,0,0,0,0,0,0
292,,,,,,0,0,0,0,0,0,0
293,,,,,,0,0,0,0,0,0,0
294,,,,,,0,0,0,0,0,0,0
295,,,,,,0,0,0,0,0,0,0
296,,,,,,0,0,0,0,0,0,0
297,,,,,,0,0,0,0,0,0,0
298,,,,,,0,0,0,0,0,0,0
299,,,,,,0,0,0,0,0,0,0
300,,,,,,0,0,0,0,0,0,0
301,"/자동대상고정 보조명령어
캐릭터 설정 메뉴의 '자동 공격 시 대상 고정' 기능을 제어합니다.
>>보조명령어
켜기(on)
 …기능을 켭니다.
끄기(off)
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/자동대상고정,,/autolockon,,0,36,2,1,2,0,0
302,"/자동대상보기 보조명령어
캐릭터 설정에서 '기술 사용 시 대상 보기' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/자동대상보기,,/autofacetarget,,0,36,2,1,2,0,0
303,"/대상원표시 보조명령어
캐릭터 설정에서 '대상 원 표시' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/대상원표시,,/targetring,,0,36,2,1,2,0,0
304,"/대상선표시 보조명령어
캐릭터 설정에서 '대상 선 표시'를 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/대상선표시,,/targetline,,0,36,2,1,2,0,0
305,"/협공선표시 보조명령어
캐릭터 설정에서 '협공 선 표시' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/협공선표시,,/linkline,,0,36,2,1,2,0,0
306,"/자동대상 보조명령어
캐릭터 설정에서 '적대 기술 실행 시 실행 대상을 자동으로 선택' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/자동대상,,/autotarget,,0,36,2,1,2,0,0
307,"/머리표시 보조명령어
캐릭터 설정에서 '내 머리 장비 보이기' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/머리표시,,/displayhead,,0,36,2,1,2,0,0
308,"/무기표시 보조명령어
캐릭터 설정에서 '주 무기 및 보조 무기를 넣었을 때도 보이기' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/무기표시,,/displayarms,,0,36,2,1,2,0,0
309,"/무기자동넣기 보조명령어
캐릭터 설정에서 '주 무기 자동으로 넣기' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/무기자동넣기,,/autosheathe,/ashathe,0,36,2,1,2,0,0
310,"/자신클릭 보조명령어
캐릭터 설정에서 '마우스로 자신 클릭 가능' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/자신클릭,,/targetself,,0,36,2,1,2,0,0
311,"/필드클릭 보조명령어
캐릭터 설정에서 '필드를 클릭하여 대상 선택 취소' 기능을 설정합니다.
>>보조명령어
켜기(on) 
 …기능을 켭니다.
끄기(off) 
 …기능을 끕니다.
※ 보조명령어 생략
 …기능 켜기/끄기를 전환합니다.",/필드클릭,,/groundclick,,0,36,2,1,2,0,0
312,"/대화로그 보조명령어
캐릭터 설정의 대화 로그 관련 항목을 설정합니다.
>>보조명령어
글꼴크기(fontsize) 탭번호 숫자
지정한 탭 번호의 대화 로그를 지정한 숫자의 글꼴 크기로 설정합니다.
시각 탭번호 켜기(time 탭번호 on)
 …지정한 탭 번호의 대화 로그에 시각을 표시합니다.
시각 탭번호 끄기(time 탭번호 off)
 …지정한 탭 번호의 대화 로그에 시각을 표시하지 않습니다.
시각(time) 탭번호
 …지정한 탭 번호의 대화 로그에서 시각 표시/비표시를 전환합니다.
시각(time) 12
 …시각 표시를 12시간제로 지정합니다.
시각(time) 24
 …시각 표시를 24시간제로 지정합니다.
시각 로컬(time local)
 …시스템에 설정된 현실 시간을 기준으로 표시합니다.
시각 서버(time server)
 …서버 시간을 표시합니다.
효과음 대화채널명 켜기(call 대화채널명 on)
 …지정한 대화 채널에 새 메시지가 오면 효과음이 울리도록 설정합니다. 대화 채널 이름을 생략한 경우에는 귓속말로 간주합니다.
효과음 대화채널명 끄기(call 대화채널명 off)
 …지정한 대화 채널에 새 메시지가 오더라도 효과음이 울리지 않도록 설정합니다. 대화 채널 이름을 생략한 경우에는 귓속말로 간주합니다.
효과음 대화채널명 숫자(call 대화채널명 숫자)
 …지정한 대화 채널의 수신 효과음을 지정한 번호의 효과음으로 변경합니다. 대화 채널 이름을 생략한 경우에는 귓속말로 간주합니다.
효과음 대화채널명
 …지정한 대화 채널에 새 메시지가 왔을 때의 효과음 켜기/끄기를 전환합니다. 대화 채널 이름을 생략한 경우에는 귓속말로 간주합니다.
[지정 가능한 대화 채널 이름]
 …자신이 받는 감정 표현(emote) 귓속말(t) 파티(party) 자유부대(freecompany) pvp팀(pvpteam) 연합파티(alliance) 링크셸1~8(linkshell1~8) 초보자(beginner) 서초링1~8(cwlinkshell1~8)",/대화로그,,/chatlog,,0,36,4,3,2,2,2
313,"/전투효과 대상 표시방식
캐릭터 설정에서 '전투 효과 설정' 기능을 제어합니다.
>>대상
자신(self)
 …자신의 전투 효과 표시 방식을 설정합니다.
파티(party)
 …파티원의 전투 효과 표시 방식을 설정합니다.
기타(other)
 …기타 플레이어의 전투 효과 표시 방식을 설정합니다.
적플레이어(enemypc)
　…PvP 적 플레이어의 전투 효과 표시 방식을 설정합니다.
>>표시방식
모두(all)
 …'모두 표시'로 설정합니다.
간략(simple)
 …'간략 표시'로 설정합니다.
끄기(off)
 …'표시 안 함'으로 설정합니다.
※ 표시방식 지정 생략
 …'모두 표시'와 '표시 안 함' 사이에서 전환합니다.",/전투효과,,/battleeffect,,0,228,3,2,2,2,0
