#,HyurMidlanderMale,HyurMidlanderFemale,HyurMidlanderLastName,HyurHighlanderMale,HyurHighlanderFemale,HyurHighlanderLastName,ElezenMale,ElezenFemale,ElezenWildwoodLastName,ElezenDuskwightLastName,MiqoteSunMale,MiqoteSunFemale,MiqoteSunMaleLastName,MiqoteSunFemaleLastName,MiqoteMoonMale,MiqoteMoonFemale,MiqoteMoonLastname,LalafellPlainsfolkFirstNameStart,LalafellPlainsfolkLastNameStart,LalafellPlainsfolkEndOfNames,LalafellDunesfolkMale,LalafellDunesfolkMaleLastName,LalafellDunesfolkFemale,LalafellDunesfolkFemaleLastName,RoegadynSeaWolfMale,RoegadynSeaWolfMaleLastName,RoegadynSeaWolfFemale,RoegadynSeaWolfFemaleLastName,RoegadynHellsguardFirstName,RoegadynHellsguardMaleLastName,RoegadynHellsguardFemaleLastName,AuRaRaenMale,AuRaRaenFemale,AuRaRaenLastName,AuRaXaelaMale,AuRaXaelaFemale,AuRaXaelaLastName,HrothgarHellionsFirstName,HrothgarHellionsLastName,HrothgarLostFirstName,HrothgarLostLastName,Unknown0,Unknown1,Unknown2,VieraFirstName,VieraRavaLastName,VieraVeenaLastName,Unknown_70_1,Unknown_70_2,Unknown_70_3
54,조나서스,푸안드렉,Leatherby,루돌프,기즐라,Rayne,이보로,무니,Liautroix,Langloisiert,응제트,키하토아,Tia,Zhed,미크아,오키,Nelhah,,,,,,조,,리츠퀼트,Guldgarasyn,메를가임,Drysfalkwyn,둔한이끼,Knife,Tree,호조,마히와,Nagae,치두쿨,차우르,,베셀린,,부크,,야나브,,,세드릭,,,엘렌,,
55,조셉,글로이센,Lee,루오디저,지슬라,Redd,자크만,멜리시,Lionnellais,Lantonceins,하제트,스락샤이,Tia,Zolwe,미크토,미크,Amariyo,,,,,,주,,릴하르,Drysfalksyn,오펜가임,Borgbyldawyn,키다리느릅나무,Hand,Sentinel,마사츠치,미사고,Ritsuso,차가다이,차비,,바딤,,그라디미르,,베이타,,,샤르몽,,,즈피나,,
56,케너드,글로이엄드,Little,로들랜드,그레드,Reeve,장레미앙,무리즈,Lothaire,Larsefauceais,아빈,차말라위,Tia,Bihl,미크리,세미,Gamduhla,,,,,,,,루한트,Borgbyldasyn,스누가임,Bleibornwyn,성난큰낫,Scythe,Meadow,무라쿠모,미즈키,Tosho,차가간,차구르,,두스차,,슬로보단,,이르랴,,,딜란,,,지레니,,
57,케릭,그레네이,Mason,렘핑,그리샤일,Rowntree,랑세페르,미엔,Matigniant,Logedanrel,데빈,스칼카야,Tia,Cirha,레쉬아,레쉬,Chalahko,,,,,,,,스쾬리트,Bleibornsyn,슈티르가임,Flekkbornwyn,행복한버드나무,Castle,Willow,모토고에,미츠바,Obinata,차나르,차크하,,라트미르,,스타니크,,,,,타우니,,,블레나,,
58,키니슨,궨슨,Meath,흐로크,가일,Royce,롱드르넬,넬로르,Mayeulons,Marcechamp,페인와,차폰다오,Tia,Dinhe,자나새,자나,Jakkya,,,,,,,,스텔훈트르,Flekkbornsyn,준튀어위브,Geissbornwyn,작은요새,Frost,Rose,야부사메,미네,Tachikake,차라카,체르빈,,수디미르,,로스티크,,,,,마세누엘,,,케디라,,
59,레디슬라스,그웬기유,Mercer,휴얼린,해드위스,Royle,레오데어,니므이,Merthelin,Marinterre,자인와,메코롤론,Tia,Fijah,자나탄,트세,Nbolo,,,,,,,,스테르브로다,Geissbornsyn,스웬위브,Guldhaemrwyn,소박한장미,Needle,Lily,유스이,모즈,Tsurugi,차라가이,처탄,,티호미르,,즈데스가르,,,,,로우렝상,,,코디아,,
60,램버트,일컴,Miller,휴럴드,헤겔리나,Rush,레온소,니나,Mestonnaux,Monranguin,스니자,응라비에,Tia,Ginwa,르호아,르호,Jinjahl,,,,,,,,준튀룬트,Guldhaemrsyn,스베르튀브,Hollkoenwyn,게으른서리,Thunder,Daisy,요우메이,야치요,Miyumi,초아체누르,치리나,,드라고미르,,두스안,,,,,,,,크레니,,
61,로렌스,이마니아,Moore,하리베어르트,헬린다,Ryder,리두아레,니비아,Miraudont,Montenbelt,에니자,우장고,Tia,Hiqoh,로이르,기아,Polaali,,,,,,,,스워츠베인트,Hollkoensyn,토어위브,Hollmyrganwyn,치명적인바늘,Rain,Tulip,라이덴,야요이,Yuzuka,출게테이,코타,,파바오,,블라단,,,,,,,,데로에,,
62,로렌티어스,조시아,Morning,헤리월드,헬리센,Savage,리오넬,노앨,Muraudel,Montorgains,시린,야코네브,Tia,Jinh,나고리,나고,Maimhov,,,,,,,,쥐츤스쾨프,Hollmyrgansyn,터크위브,Pfarskratwyn,하얀튤립,Snow,Flower,라쿠요우,유키,Yumite,초르마간,코탄,,카제크,,코스체이,,,,,,,,도네,,
63,로드윅,리나,Newton,하이돌프,헐레브,Skinner,루이치오,놀린,Narmandais,Nillefrant,키린,페딜로고,Tia,Khilo,나고라,나슈,Lyehga,,,,,,,,토신부어트,Pfarskratsyn,토퓌브,Sundwilfwyn,붉은눈,Hammer,Acorn,라쇼,요자쿠라,Rokuyari,칠라군,코토타,,토미스가르,,라디스가르,,,,,,,,에레먀,,
64,매디슨,리니브,Nolan,하이마르,허머젠,Souther,뤼도브랭,노를레즈,Nellemond,Noirterel,우미투,페다미아,Tia,Lizha,나고야,욤므,Kaatapoh,,,,,,,,트라귈,Sundwilfsyn,트라흐위브,Ostyrwilfwyn,푸른꽃,Helm,Plain,란세츠,요미,Daitou,칠루쿠,다가시,,라디미르,,즐라토미르,,,,,,,,피도나,,
65,멘프로이,메두일,North,헬프릭,힐델라나,Speare,루클로,오디브,Nogeloix,Norbertillon,스미투,하몰로시,Tia,Mitnu,피모아,피모,Khamazom,,,,,,,,트라그윌프,Ostyrwilfsyn,운타위브,Loetwilfwyn,노란투구,Shield,Rafflesia,료센,와카,Tatewaki,칠게르,도쿠즈,,라주므니크,,블라디미르,,,,,,,,글린타,,
66,매티,메르위나,Oswell,헬름하트,이데스위프,Stark,마르셀루아,오딜리,Norbettaux,Notrelchamps,와리나,이디넥,Tia,Nitsah,피모토,지우즈,Panipahr,,,,,,,,벰테르빈,Loetwilfsyn,벰위브,Kindlaentwyn,조용한초원,Axe,Ivy,리노,토우바나,Hagane,칠레두,도이,,밀론,,노바크,,,,,,,,하티아,,
67,모딘,에어렐,Piper,헤멧,이마니,Starr,마르크로르,옴벨린,Noudenet,Orchambaut,에리나,르아데브,Tia,Oimeh,나오아,나오,Moshroca,,,,,,,,완마가,Kindlaentsyn,바든위브,Hirskhwabwyn,열정적인도끼,Mythril,Blossom,이즈나,아제나,Bugai,차가다이,에지,,브라니미르,,벨리미르,,,,,,,,유리타,,
68,모건트,애슐린,Poole,허네,이멜,Steele,마리우스텔,온딘,Oirellain,Ormesang,이린느,르나뱌노,Tia,Pinha,나오리,크온,Garanjy,,,,,,,,바스틀라이트,Hirskhwabsyn,볼크위브,Syvinsnoewyn,깊은목초지,Copper,Thorn,,,Gunji,델베그,에케,,비세스가르,,스타니미르,,,,,,,,키나라,,
69,모리스,앨린,Potter,건트머,라베나,Sternn,마루알,오펠리,Orselfaux,Ortefauchel,하린느,프왈론,Tia,Rihll,나오라,로에,Jawantal,,,,,,,,와이브로트,Syvinsnoesyn,버트위브,Wastmyndwyn,쓰디쓴구리,Iron,Daughter,,,Abumi,텔레보게,에메겐,,브론디,,체스가르,,,,,,,,쿠크라,,
70,나베어,시아나,Reed,군도벌드,루아킨,Stone,마르티알레,오피안,Ouraux,Ostoiraint,카슈타,그인타나,Tia,Sthah,렐라아,렐라,Lihzeh,,,,,,,,빌트배크,Wastmyndsyn,찬트위브,Wastgreinwyn,기쁜방패,Mountain,Bride,,,Kabuto,토르둔크,게르게이,,보얀,,스타스,,,,,,,,라헬레,,
71,노에스,샤엘,Rich,저브신,라이펀,Thorne,알랭,오리안,Padilloux,Outreguerlain,크슈타,크판돌루,Tia,Thish,렐라토,도요,Mujuuk,,,,,,,,비스튀르나크트,Wastgreinsyn,에름위브,Wastbyrtwyn,질투하는도토리,Stone,Veil,,,Oshiga,도르베이,고아,,밀라딘,,스뱌토고르,,,,,,,,라도냐,,
72,올리버,데이드라,Rose,게버드,라이즈,Walder,막시밀루아,페르셀,Pamisolaux,Parsemontret,응빈바,오다트난,Tia,Shikhu,렐라리,크옴,Jaab,,,,,,,,분트휠,Wastbyrtsyn,에어퀴브,Bloedornnwyn,열렬한소녀,Boulder,Bridle,,,Ittetsu,바브가이,구아,,세미르,,보제크,,,,,,,,스라셰,,
73,오리식,이라,Sadler,기젤버더스,마틸드,Vance,낭텐,페린,Paulecrain,Pasdevillet,메빈바,메숨블라,Tia,Vimba,데비리,데비,Tayuun,,,,,,,,드뤼스나글,Bloedornnsyn,베르크위브,Bloelakwyn,적갈색무쇠,Spire,Feather,,,Iteya,바투,호엘룬,,보그단,,브세볼로드,,,,,,,,로일레,,
74,오릭,이반,Sawyer,겔프레더스,메헤닐다,Vann,놀리아넬,퍼른,Pelderain,Pierriquet,우빌로,페트차카,Tia,Wiloh,데비야,네모,Bajhiri,,,,,,,,아인트루크,Bloelaksyn,브라튀브,Bloegaezwyn,고약한가시,Hill,Moon,,,Kiba,바이다르,후자우르,,페타르,,블라즈,,,,,,,,모테이,,
75,오르웬,이댈린,Shepard,겔터,마일라,Weard,옥타벨,피엔,Prairillot,Portelaine,그빌로,바아림베,Tia,Yhisa,키나아,키나,Zhwan,,,,,,,,푀차귈,Bloegaezsyn,브륀위브,Guoljarrwyn,슬픈언덕,Mesa,Star,,,Mihata,바이두르,카툰,,크르스토,,틸로,,,,,,,,무아,,
76,오스릭,에일리스,Slater,게러볼드,오드버가,Warren,올다릭,리네트,Primerain,Quemperlain,오진바,와얀디,Tia,Jhida,키나토,츠브,Molkoh,,,,,,,,그라인툼,Guoljarrsyn,두스위브,Loezkhanwyn,충직한달,Ravine,Heaven,,,Meiken,바가리다이,코르치,,보인,,달레크,,,,,,,,라키네,,
77,라프,페넬라,Smith,프리드버트,오딜라,Wayne,오스탈레,리비엔,Priorfaix,Quimperin,비진바,메트림나,Tia,Nulah,키나라,요하,Mewrilah,,,,,,,,그뤼네바트,Loezkhansyn,페튼위브,Lyngmholwyn,열성적인별,Gorge,Dawn,,,Yatsurugi,바타차치칸,쿨란,,이제트,,젤리미르,,,,,,,,타라니,,
78,라우프,파이어커,Southway,파라문드,오렐라,Weekes,파르시멜,로엘,Quemilien,Robairlaint,아눌로,데온돌로,Tia,Bhudi,데토리,데토,Rabntah,,,,,,,,굴드바이츠,Lyngmholsyn,페달로나,Lyngroeganwyn,단단한빙하,Glacier,Dusk,,,Kensaki,바타치칸,코코,,미로스가르,,드라잔,,,,,,,,빌마,,
79,롤린,피니아,Spence,에르메놀드,오리엘디스,West,파스칼레,술레트,Quiloud,Rochedalaix,데눌로,페피로,Tia,Vhuh,세다아,세다,Wahcondalo,,,,,,,,헬브스튀른,Lyngroegansyn,프루스클로나,Lyngwintwyn,날카로운협곡,Forest,Eve,,,Kogane,바야르,마랄,,보치다르,,미카스,,,,,,,,옌첼레,,
80,리벌드,글리니스,Stark,에놀드,오트기바,Wynter,포르몽,셀렌,Rainteau,Roiteloint,야투브,오볼라프,Tia,Lhuil,세다리,파와,Jomalah,,,,,,,,이른뵈르트,Lyngwintsyn,프루틀로나,Wintwyrnwyn,예리한땅거미,Desert,Comet,,,Kurogane,바얀,메르겐,,슈체판,,라디고스트,,,,,,,,젤피에,,
81,리카드,이아나,Tanner,어놀프,오이델라,Woode,페르세방,소핀,Raitmeaux,Rontremont,조투브,우카와우,Tia,Quohn,오샤리,오샤,Relanah,,,,,,,,케텐람,Wintwyrnsyn,귀발로나,Wintbrotwyn,빛나는혜성,Volcano,Jewel,,,Shirogane,바르담,미데,,야로스가르,,밀루틴,,,,,,,,,,
82,릭먼,카라,Walker,에델스틴,래딜라,Wyght,레몽도,소렐,Rillemont,Roustebant,이쿠온,와케파가,Tia,Tohka,오샤토,파자,Akhabila,,,,,,,,크뤼스트륌,Wintbrotsyn,케스틀로나,Wintfohcwyn,사라진사막,Geyser,Gem,,,Aogane,마우치,니겐,,프레벤,,코첼리,,,,,,,,,,
83,로어릭,킬티,Ward,버웰프,레가나,Wyman,로마리크,소피앙,Roulemet,Saintrelmaux,응쿠온,바도야가,Tia,Rhowa,오샤지,무이쥬,Awandah,,,,,,,,뮈트뮈어간,Wintfohcsyn,클레틀로나,Ernafolgwyn,침울한숲,Island,Cloud,,,Akagane,마칼리,오그훌,,보르나,,쿨린,,,,,,,,,,
84,로빈,케이사,Weild,베틴,라인가르트,Wynne,실베어,테닌,Saistenioux,Sarmantoix,차코트,조지메이,Tia,Cott,오샤탄,타지,Anbolho,,,,,,,,뉘운크레프,Ernafolgsyn,크뤼슬로나,Ernahaemrwyn,풀죽은구음,Jungle,Light,,,,마스구드,오굴,,시니사,,브로니스가르,,,,,,,,,,
85,로저,미브,West,베린하드,리닐다,Reed,솜브레퀴앙,테이지,Silmontaix,Sellecerre,우코트,크자와나,Tia,Muhih,랄라토,랄라,Betwanhe,,,,,,,,퓜보르크,Ernahaemrsyn,마슬로나,Grymgaezwyn,북녘온천,Grotto,Dream,,,,문글리그,오키,,조란,,루보미르,,,,,,,,,,
86,로스,미라,White,버니어,로헤이자,Hayle,스테파노,티판,Solainteau,Soilanteaux,하줄라,와잠코,Tia,Xhula,코흐아,코흐,Binbotaj,,,,,,,,뤼스튈,Grymgaezsyn,뫼그렐,Grymkoelwyn,남녘밀림,Steel,Glass,,,,호샬,오르가나,,루토미스,,아디스,,,,,,,,,,
87,라운델프,메리엘,Winsome,베로알드,로잘린다,Speake,실브레,트리윤,Surlaint,Teaurelin,프줄라,우로요드,Tia,Runja,코흐리,므이,Burwani,,,,,,,,제즈브로다,Grymkoelsyn,낙트렐,Gyrmoenwyn,서녘동굴,Oak,Goddess,,,,부카타이,카툰,,고리냐,,이바니스,,,,,,,,,,
88,롤랜드,누알라,Witte,베럴드,로이사,Crofte,테오발랑,트리셀,Terremiaux,Terrechant,자유,시텔리고,Tia,Ghuh,코흐새,하스,Dolabnha,,,,,,,,스탈르헤트,Gyrmoensyn,리스라엘,Saesraenwyn,동녘강철,Elm,Sky,,,,부키다이,코야르,,니노스가르,,타닉스,,,,,,,,,,
89,리차드,실리즈,Yaeger,버더,셀리,Lance,테오필랑,울루안,Thievenaix,Thierremont,스유,시톨다,Tia,Dhol,바투아,바투,Dakwhil,,,,,,,,쥘바이츠,Saesraensyn,스캔레일,Kroemkhezlwyn,이른하늘,Walnut,Heaven,,,,부구누테이,삼가,,아스미르,,볼레크,,,,,,,,,,
90,샘슨,티브,Yar,오두인,시그버타,Redwyne,테루안,우르시엘,Tirauland,Torsefers,아골,아케비카,Tia,Fhuz,키흐토,키흐,Entialpoh,,,,,,,,쥐빈본,Kroemkhezlsyn,스위그레일,Hyrtfyrwyn,늦은천국,Stump,Ghost,,,,부지르,세첸,,세데다,,스베트코,,,,,,,,,,
91,산드레,아그니스,Yarborough,오트가,사이엘,Blackthorne,티에고,비앙,Tourcenet,Tristechambel,비골,메덴모,Tia,Jutah,키흐새,부카,Elakha,,,,,,,,바스뷔름,Hyrtfyrsyn,쥐츤레일,Hyrtberawyn,용맹한월계수,Sentinel,Laurel,,,,부제그,샤르,,라티보르,,보르스치,,,,,,,,,,
92,시거드,앨레인,Weaver,애버릿,틸라,Blackstone,우르술린,비엘,Travanchet,Uchemantoin,시차이,이자잔,Tia,Aboh,키흐워,모느,Fashonti,,,,,,,,지른베르크,Hyrtberasyn,베브렐,Floeransawyn,고귀한소나무,Pine,Diamond,,,,부차란,수브드,,미할로,,프리비나,,,,,,,,,,
93,사이먼드,아멜리아,Webb,앤셸름,우다,Greywolfe,발롱티누아,야엘,Urleaux,Urselmert,이차이,리미가조,Tia,Batih,하우리,하우,Ganajai,,,,,,,,아이지비어,Floeransasyn,빌프브뤼다,Ansamhawyn,당당한전나무,Fir,Emerald,,,,부제크,테물룬,,,,에메리크,,,,,,,,,,
94,템플턴,앰펠리스,Wells,앤소버트,위레다,Greywoode,발레랑,이다인,Usurlois,Vaincannet,르아토,오콜베,Tia,Qhulu,레이토,나이,Lanbatal,,,,,,,,아이스브레나,Ansamhasyn,치른브뤼다,Nyunmerlwyn,영광의선인장,Cactus,Sapphire,,,,부얀투,토레게네,,,,카시미르,,,,,,,,,,
95,밴스,앤젤렛,Wheeler,아케비우스,울가다,Greyashe,발테몽,일루아즈,Valeriant,Vainchelon,자아토,차페르자,Tia,Monhi,레이아,레이,Moshantu,,,,,,,,플루언만,Nyunmerlsyn,알브뤼다,Rhutirammwyn,명예로운꿈,Tree,Ruby,,,,불카다르,첸셰르,,,,트르피미르,,,,,,,,,,
96,보이스,안나,Wright,아쳄발드,벨레다,Westmoore,방텔므,요엔,Valtin,Vairemont,이다티,스호즈콰,Tia,Tyanu,레이리,마우,Chelewae,,,,,,,,위른브로다,Rhutirammsyn,안카브뤼다,Rhotsatzawyn,부러진사파이어,Sword,Amber,,,,불루간,투라키나,,,,보라스,,,,,,,,,,
97,빈센트,에이브릴,Young,아킴발트,윌버가,Westknight,윌리베,욜랭,Voilinaut,Valeroyant,에다티,페라무이,Nunh,,라이아,라이,Wolndara,,,,,,,,그레인보르크,Rhotsatzasyn,발트브뤼다,Ghutsaldwyn,술취한칼,Tomb,Pearl,,,,불테추,우진,,,,,,,,,,,,,,
98,윌리엘머스,에일리스,,아렌발드,윌메타,Frostwyght,예니스탕,이스트라이드,Vremaix,Vilauclaire,조모나,페타자,Nunh,,라이리,노지,Wilzuun,,,,,,,,스워츠람,Ghutsaldsyn,가임브뤼다,,대담한무덤,Shadow,Smile,,,,불트게르,울란,,,,,,,,,,,,,,
99,와인버그,카르멘,,안셀롯,밀우다,Redsteele,이블롱,자비니,Xavalien,Vortefaurt,카모나,자마자,Nunh,,질리아,질리,Quowaital,,,,,,,,,,,,유능한진주,Bone,Wool,,,,베구그테이,,,,,,,,,,,,,,,
