#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
251,타인의 소환수/버디가 준 피해,카벙클 에메랄드의 공격  청설모에게 123 피해를 주었습니다.,2048,65535,41,14,1,0
252,타인의 소환수/버디가 실패한 공격,카벙클 에메랄드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,2048,65535,42,14,2,0
253,타인의 소환수/버디의 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술>을 중단했습니다.",2048,65535,43,14,3,0
254,타인의 소환수/버디의 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",2048,65535,44,14,4,0
255,타인의 소환수/버디가 한 회복, 클라우드가 HP를 123 회복했습니다.,2048,65535,45,14,5,0
256,타인의 소환수/버디가 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,2048,65535,46,14,6,0
257,타인의 소환수/버디가 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,2048,65535,47,14,7,0
258,타인의 소환수/버디가 받은 피해,청설모의 공격  카벙클 에메랄드에게 123 피해를 주었습니다.,65535,2048,41,14,8,0
259,타인의 소환수/버디가 회피한 공격,청설모의 공격  빗나갔습니다! 카벙클 에메랄드에게 적중하지 않았습니다.,65535,2048,42,14,9,0
260,타인의 소환수/버디에 대한 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술> 시전을 중단했습니다.",65535,2048,43,14,10,0
261,타인의 소환수/버디에 대한 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",65535,2048,44,14,11,0
262,타인의 소환수/버디가 받은 회복, 카벙클 에메랄드가 HP를 123 회복했습니다.,65535,2048,45,14,12,0
263,타인의 소환수/버디가 받은 강화 효과, 카벙클 에메랄드가 <강화 효과 이름> 효과를 받았습니다.,65535,2048,46,14,13,0
264,타인의 소환수/버디가 받은 약화 효과, 카벙클 에메랄드가 <약화 효과 이름> 효과를 받았습니다.,65535,2048,47,14,14,0
265,타인의 소환수/버디의 강화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,2048,48,14,15,0
266,타인의 소환수/버디의 약화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,2048,49,14,16,0
267,,,0,0,0,0,0,0
268,,,0,0,0,0,0,0
269,,,0,0,0,0,0,0
270,,,0,0,0,0,0,0
300,서버 초월 링크셸 [2],[서초링 2]<릴름> 안녕하세요!,65535,65535,101,1,11,1
301,서버 초월 링크셸 [3],[서초링 3]<지탄> 안녕하세요!,65535,65535,102,1,12,1
302,서버 초월 링크셸 [4],[서초링 4]<빈센트> 안녕하세요!,65535,65535,103,1,13,1
303,서버 초월 링크셸 [5],[서초링 5]<퀴스티스> 안녕하세요!,65535,65535,104,1,14,1
304,서버 초월 링크셸 [6],[서초링 6]<아델버트> 안녕하세요!,65535,65535,105,1,15,1
305,서버 초월 링크셸 [7],[서초링 7]<시드> 안녕하세요!,65535,65535,106,1,16,1
306,서버 초월 링크셸 [8],[서초링 8]<에이코> 안녕하세요!,65535,65535,107,1,17,1
