#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
88,유인향 덫으로 '루난티시'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
89,유인향 덫으로 '제우글로돈'을 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
90,'샛바람 사누와' 처치,"여기는 아유나르트 관제탑……
피 냄새를 맡고 더 강한 적이 나타난 것 같다.","방치하면 탐사에 큰 방해가 될 것이다.
목표를 변경하여 즉시 처치하라.",,0,0,0,7,1,0,-1
91,'셀피' 처치,"여기는 아유나르트 관제탑……
피 냄새를 맡고 더 강한 적이 나타난 것 같다.","방치하면 탐사에 큰 방해가 될 것이다.
목표를 변경하여 즉시 처치하라.",,0,0,0,7,1,0,-1
92,유인향 덫으로 '디플로카울루스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 단계만 처리하면 임무는 완전히 끝난다.
지정 지점에서 '유인향 덫'을 이용해 목표를 처리하라.","다음 목표는 만만치 않을 것이다.
주변 지역 탐사보다는 처치에 집중하라.",0,0,0,8,3,0,-1
93,'늙지 않는 멜리아' 처치,"여기는 아유나르트 관제탑……
피 냄새를 맡고 더 강한 적이 나타난 것 같다.","방치하면 탐사에 큰 방해가 될 것이다.
목표를 변경하여 즉시 처치하라.",,0,0,0,7,1,0,-1
94,'프테라노돈' 처치,"여기는 아유나르트 관제탑……
피 냄새를 맡고 더 강한 적이 나타난 것 같다.","방치하면 탐사에 큰 방해가 될 것이다.
목표를 변경하여 즉시 처치하라.",,0,0,0,7,1,0,-1
95,유인향 덫으로 '디아뎀 마리드'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
96,유인향 덫으로 '코엘로피시스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
97,誘引香の罠で「コエロフィシス」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
98,誘引香の罠で「エイジレス・ダイアマイト」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
99,誘引香の罠で「アントホーク」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
100,,,,,0,0,0,0,0,0,-1
