#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
42,제9호,우주 공항 기능 확충,"행성 오이지스의 현관, 우주 공항의 기능이 확충되었습니다!

이번에도 전용 발뢰소를 설치해 고속 에너지 충전이 가능해졌고, 거주 모듈에 설치한 것과 동일한 중력 이상 저항판을 설치해 이착륙 시의 안정성을 향상했습니다.
또한 각 시설에서 우주 공항으로 가는 경로가 확보되어 자재의 반출입도 더욱 편리해졌습니다!

사실 지금까지는 상공의 중력 구체가 미칠 영향을 고려해 우주선에 실을 물자 양을 엄격하게 제한하고 있었답니다.
하지만 이번에 시설을 확충하며 제한이 해제되었고…… 행성 아이테리스로 물자를 운송하는 것과 더불어, 심우주 탐사에도 탄력이 크게 붙었습니다!

중력 구체의 영향이라고 하니 말이죠, 중앙 크리스탈에서 거리가 있는 구역에서 갑자기 지각 변동이 관측되었다고 합니다.
무언가 새로운 발견의 전조일까요……?"
43,제10호,사막굴 유적 현관 발굴,"중력 구체의 영향으로 비취핵 골짜기 깊은 곳에 묻혀 있던 구조물이 드러났습니다.
여러분의 협력으로 토사와 바윗덩어리를 치우자…… 내부로 이어진 문 같은 것이 모습을 드러냈답니다!

네이밍웨이는 그 모습이 마치 사막 쥐의 굴 같다며, '사막굴 유적'이라는 이름을 붙였다고 합니다.
어쩌면 이 문 너머에서 선구자들의 문명에 대해 알아낼 수 있을 만한 엄청난 발견을 하게 될지도 모릅니다.

그리고 탐색을 원활하게 진행할 수 있도록, 우주 라이너가 유적 바로 앞까지 연장됐습니다.
기지에 있는 연구팀과 연락을 주고받으며, 앞으로도 탐색을 열심히 진행해 봅시다!"
44,제11호,사막굴 유적 현관 개방,"열성적인 복구 작업 끝에 사막굴 유적의 숨겨진 문이 열렸습니다!
문 중앙에 새겨진 문양에 빛이 들어오니…… 마치 선구자들이 남긴 문명의 일부가 밝혀진 듯한 느낌입니다.
지금까지의 조사를 통해, 행성 오이지스의 유적은 결정체에 고밀도 에테르를 주입하여 작동한다는 사실을 알아냈습니다.
아무래도 선구자들은 굉장히 뛰어난 에테르학적 지식을 가지고 있었던 모양이군요.

아직 유적 내부 탐색을 본격적으로 시작하지는 않았지만, 간이 조명등을 설치했으니 들어가는 길은 안전하겠지요.
내부에서도 결정체를 다수 확인했으니, 그것들을 작동시킨다면 다음 구역으로 나아갈 수 있게 될지도 모릅니다……!"
45,제12호,사막굴 유적 가이드 스톤 복구,"가이드 스톤이라는 이름이 붙은, 사막굴 유적의 내부 기구를 작동시키는 데 성공했습니다!

유적 안에 배치된 수많은 휘석에 빛이 들어온 걸 보면, 점차 원래의 모습을 되찾고 있다고 할 수 있겠지요.
선구자들이 이 유적을 왜 지었고, 어떻게 활용했는가…… 하는 수수께끼를 풀 수 있을지도 모릅니다.

아마 그 수수께끼의 열쇠는 최심부에서 발견한 결정체 '메타헤드론'이 쥐고 있을 것입니다.
마치 에우헤드론의 축소판을 보는 듯하더군요.
이걸 마른땅 기지의 기구처럼 활성화시킨다면 무언가를 알아낼 수 있지 않을까요?"
46,제13호,메타헤드론 복구,"사막굴 유적 최심부에 위치한 메타헤드론이 복구되었습니다!
본부 기지의 에우헤드론같이, 나뭇잎처럼 선명한 녹색 빛을 발하는군요.

연구팀이 말하길, 이 구조물은 가이드 스톤처럼 비교적 작은 기구와 재질은 동일하지만, 차원이 다른 순도를 가졌다고 합니다.
듣고 보니 색도 약간 진한 것 같군요.
커다란 기구를 만들려면 에테르 흐름을 방해하는 불순물이 적은 소재를 사용해야 했던 걸까요?

아무튼 이제야 재가동시킨 참이라 아직 자세히 조사하진 못했지만, 에우헤드론과 에테르 파장이 공명할 가능성이 있다는 의견도 나오고 있습니다.
앞으로 양쪽 거점의 기구 사이에서 무언가 연관성이 발견될지도 모르겠군요."
47,제14호,비취핵 골짜기 전역으로 우주 라이너 연장,"사막굴 유적 바로 앞까지만 설치되어 있던 우주 라이너가 최심부까지 연장되었습니다!

유적 내부의 가이드 스톤과 메타헤드론을 가동하려면 정기적으로 오이지스 벽옥으로 에테르를 공급해야 할 듯하니, 물자를 신속하게 운반할 때 우주 라이너가 도움이 되겠지요.
그리고 정거장 사이에 유사 풍맥이 형성되었는데, 이 현상이 본부의 에우헤드론과 지하 유적의 메타헤드론을 연결할 단서가 될 것 같다는군요……. 앞으로의 연구가 기대됩니다.
아무튼 이로써 행성 오이지스의 현재 예정된 탐색 구역 전역에 우주 라이너가 설치되었습니다.
연구팀의 왕래도 더욱더 활발해져, 메타헤드론에 대한 조사도 점점 진행되겠지요!"
48,제15호,마른땅 기지 구조 강화,"마른땅 기지의 구조를 튼튼하게 강화하는 공사가 완료되었습니다!
정비 중이었던 기지 내부의 내장재도, 향후의 설비 증설을 고려하여 완벽하게 대비를 마쳤습니다.

머지않아 우리가 탐색을 완전히 마치고 이 별을 떠날 때 원상 복귀시킬 수 있도록, 유적 내 설비는 전부 가설 공법을 이용해 설치했답니다.
가역성을 유지하면서 구조를 강화하는 작업은 절대 쉽지 않았지만…… 전부 다 여러분이 협력해 주신 덕분입니다!

이번 구조 강화의 목적은 사막굴 유적의 메타헤드론과 기지의 에우헤드론을 공명시켜, 에테르 정보를 전송하는 통신 설비를 기지 옥상에 설치하는 것입니다.
옥상에 올라갈 수 있도록 옥외 계단과 엘리베이터도 설치했으니, 앞으로 많은 이용 부탁드립니다!"
49,제16호,기립석 탑 준공,"마른땅 기지에 우뚝 솟은 거대 통신 설비가 준공되었습니다!

'기립석 탑'이라는 이름이 붙은 이 설비는 멀리 떨어진 결정체 기구 사이를 연결하는 에테르 공명기로 사용될 예정입니다.
기지의 중앙 기구인 에우헤드론은 가동과 관련된 에테르 정보가 손실되어 있어 지금까지 복구하지 못했지만…… 지하에 온전히 보존되어 있던 메타헤드론과 동기화시킨다면 움직일지도 모릅니다!

에우헤드론은 선구자들의 활동 중심지였던 것으로 추측되는 만큼, 복구에 성공하면 그들에 대한 새로운 사실을 알게 되겠지요!
연구팀은 벌써 기립석 탑을 가동시키기 위해 준비하는 중이랍니다."
50,제17호,에우헤드론이 말하는 과거와 앞길,"에우헤드론에서는 과연 어떤 정보가 나올까요……?
연구자들은 부푼 기대를 안고 분석 준비에 들어갔다고 합니다.
선구자들에 대한 정보가 밝혀진다면, 다음 탐색 계획에 아주 큰 영향을 미치겠지요.
갤럭틱웨이호는 이미 새로운 여행을 떠날 준비를 시작했답니다!

파엔나에서 이 행성을 관측했을 때는 문명의 흔적을 확인하긴 했지만, 구체적인 내용은 전혀 알 수 없었습니다.
그래도 탐색을 통해, 희미하게나마 선구자들의 발자취가 보이기 시작한 듯한 기분이 듭니다.

그들이 무엇을 생각하고, 무엇을 바라고, 무엇을 이루려고 했는가.
우주 개척 계획 기구는 그들의 뜻을 알아내기 위한 탐구 여행을 계속할 겁니다!"
51,제1호,나아가라! 행성 아욱세시아 탐색 계획,"달에서 시작된 우주 개척 계획도 벌써 네 번째 별, 이 '행성 아욱세시아'에 다다랐습니다. 이곳에서도 저 레포팅웨이가 탐색 활동의 나날을 기록하고자 붓을 잡았습니다.
계획에 참여하시는 모든 분에게 의미 있는 기록이 되길 바랍니다!

행성 오이지스에서는 우리가 선구자들이라 부르는 존재의 문명 유적을 조사했습니다.
그리고 결정체 기구 '에우헤드론'을 복원하여 재기동했더니, 이 행성으로 가는 항로도가 나타났지요!

사막 상태였던 이전 행성과는 달리, 행성 아욱세시아는 짙은 녹음으로 뒤덮여 있습니다. 하지만 그 안에는 대규모 도시 유적이 우똑 솟아 있었습니다.
아마도 이 행성이 바로 선구자들의 모성이 아니었을까요……!

우리는 바로 '나무꾼 기지'를 설치하고 탐색을 시작했습니다.
여러분도 힘을 보태주시면 감사하겠습니다!"
52,제2호,거주 모듈 준공,"행성 아욱세시아 탐색의 발판이 될 '거주 모듈'이 준공되었습니다!
선구자들이 남긴 구조물의 특징을 살리고, 난연성과 내구성이 높아지게끔 가공한 현지 목재를 사용했습니다.
이렇게 현지 소재를 사용하면 별의 환경에 가해지는 부하를 줄이는 데에도 유용하다고 합니다.

그리고 선구자들이 건축한 도시 공간은 거대한 나무의 가지가 마법으로 평평하게 정돈되어, 마치 공중정원이 잇달아 있는 듯한 풍경이 형성되어 있습니다.
우리가 '숲섬'이라 부르기로 한 각 원형 토지의 하부에도 거주 지역 같은 공간이 이어져 있다더군요!
이 모든 것이 행성 오이지스와 마찬가지로 마법적인 물질 변화에 의한 것으로, 톱도 못도 쓰지 않고 만들어졌다니 정말 놀라울 따름입니다."
53,제3호,우주 라이너 광역 전개,"목재 연못에서 초록잎맥길 전역을 아우르는 도심부에 우주 라이너가 설치되었습니다!

이 행성 아욱세시아에는 과거 물리적인 도로망과 지맥의 흐름을 조합한 고도의 고속 이동로가 도심부에서 교외까지 정비되어 있었던 듯합니다.
이번 우주 라이너는 지맥의 흐름을 분석해 선구자들이 사용했을 경로를 따라 정거장을 설치했습니다.
결과적으로 소비 에너지를 대폭 줄이는 데 성공했죠!
선구자들의 마법적 식견이 뛰어났다는 사실이 뜻밖의 계기로 증명된 것입니다.

덕분에 넓은 지역을 단숨에 이동할 수 있게 되었으니, 앞으로도 우주 라이너를 활용해 선구자들의 도시 공간을 탐색합시다!"
54,제4호,기반 시설 관련 설비 준공,"행성 아욱세시아의 환경에 맞춘 발뢰 설비와 급수 시설이 완성되었습니다!

이 별의 환경은 지금까지 거쳐온 행성에 비해 꽤 안정되어 있으나, 이곳의 물을 그대로 생활용수로 이용하기에는 미지수의 위험이 따릅니다.
거목 안의 인공 수로를 통해 나무 위로 운반되는 물은 여과되는 모양입니다. 하지만 선구자들의 육체 구조를 모르는 이상, 인간이나 레포릿에게 해로운 물질이 남아 있을지도 모르니까요.

그래서 탐색 활동을 하며 축적해 온 비결을 활용해 최신식 정수 설비를 도입했습니다.
발뢰 설비도 업데이트했으니, 지금까지 만든 공급 시설 중에서 가장 안정적이라고 자부할 수 있을 겁니다!"
55,제5호,어린잎탑 복구,"기지 바로 남동쪽에 있는 '어린잎탑'을 복구했습니다!
그 중추에는 행성 오이지스의 '에우헤드론'과 같은 구조의 녹색 결정체가 있는 것이 확인되었으니, 앞으로의 분석 결과에 따라 큰 발견이 있을지도 모르겠네요.

덧붙여 탑 주변에는 가지와 잎사귀의 색이 변할 정도로 심각한 수목 병해에 걸린 나무들이 무성하게 자라 있었습니다.
환화풍을 발생시키는 도시 기능 유지 기구로도 해결할 수 없었던 이 병 때문에 숲섬의 에테르 환류가 서서히 멎어 어린잎탑에 에너지가 전달되지 않았던 것 같더군요.
그래서 우리는 새롭게 개발한 연금제를 분사해 병에 걸린 나무들을 제거하거나 치료하여 지맥을 활성화했습니다!

작전은 멋지게 성공해, 탑과 그 주변은 활기를 되찾았습니다.
이 방법을 응용해 앞으로도 탐색을 진행할 겁니다!"
56,제6호,나무꾼 기지 확충 정비,"에테르 변환기를 설치하여 주변 환경과 회로를 연결하고 발뢰 설비를 개선하여, 나무꾼 기지를 확충했습니다!
이로써 복구된 어린잎탑과 직접 연결하여, 더 빠르고 더 정확하게 분석할 수 있을 겁니다.
더불어 통로를 포장하고 로더 격납고도 업데이트했으니, 계획에 참가해 주신 여러분들의 편의성도 향상되었을 겁니다!

이번 확충을 통해 도시 기구에 대해 더욱 깊게 알 수 있었습니다만, 선구자 문명의 전체적인 모습을 파악하려면 더 많은 도시 기능을 복구해서 연결해야 할 것 같군요…….
탐색을 더 진전시키기 위해 매진해 봅시다!"
57,제7호,숲속 서고 경로 개통,"숲속 서고 내부를 조사하기 위해서는 이상 증식해 길을 막고 있는 나무를 벌목해야 했습니다.
이 나무들이 숲섬 내부로 흐르는 에테르류도 막고 있기 때문이었죠.

그래서 투입된 것이 행성 아욱세시아 전용기로 개발된 신형 중장비, 우주 벌목기입니다!
어떤 거목도 벨 수 있는 대형 톱과 운반 팔을 갖춰, 장애물이 되어버린 나무를 뚫고 지나갈 수 있었죠. 기대했던 만큼 활약했습니다!

그렇게 도착한 내부에는 새로운 기구인 초록잎탑이 솟아 있었습니다.
어린잎탑과는 다르게 푸른 광석에 둘러싸여 있습니다만, 이 탑은 어떤 역할을 했을까요?"
58,제8호,초록잎탑 복구,"숲속 서고에 솟아 있는 '초록잎탑'을 복구했습니다!
그리고 길을 막고 있던 나무들처럼 이상 번식한 나무들을 진정시키는 데에도 성공한 것 같습니다.

기지와 연결해 분석을 진행한 결과, 최초로 발견된 어린잎탑은 도시 전체에 흐르는 에테르류를 관리하는 중계 기지 역할을 했던 것이 판명되었습니다.
그리고 이번에 복구한 초록잎탑과 그 주변은 고도화된 마법도시의 정보 보관고 역할을 맡았던 것으로 추정하고 있습니다.
에테르를 정보 전달에도 이용한 선구자 문명이니 이번 분석으로 더 많은 지식을 얻을 수 있을지도 모르겠네요.

당시의 도시가 어떤 모습이었을지…… 상상을 멈출 수가 없습니다!"
59,제9호,숲속 서고로 우주 라이너 연장,"숲속 서고 내부까지 우주 라이너가 연장되었습니다!
이로써 기지 맞은편에 있는 초록잎탑 근처로 이동하기가 훨씬 편해졌다며, 연구팀에게도 반응이 좋습니다. 

이전에 우주 라이너를 설치하면서, 선구자 문명이 남긴 에테르 경로를 활용했다고 설명해 드렸죠.
우주 라이너를 이용한 결과, 원래 존재하던 도시 전체를 뒤덮은 에테르류의 활성화를 촉진하게 된 듯합니다.
이동 편리성을 높이기 위한 시책이 도시 기능 복구에도 일조했다니, 예상치 못한 수확이었다고 할 수 있겠네요."
60,제10호,우주 공항 기능 확충,"행성 아욱세시아의 현관, 우주 공항의 기능이 확충되었습니다!

이번에도 갤럭틱웨이호를 위한 발뢰소를 설치했고, 환화풍이 기기에 끼칠 영향을 방지하기 위한 기능도 새롭게 설치했습니다.
우주로 날아오르는 길이 더욱 흔들림 없이 탄탄해졌다는 말입니다.

그러고 보니 대기권 밖으로 가는 길 말인데요, 이 별을 뒤덮은 천맥의 농도에서 중력 마법에 의한 것으로 보이는 영향이 관측되었다고 합니다.
지상과의 각도를 고려하면, 선구자들도 우리가 세운 기지와 우주 공항 주변에서 우주를 향해 떠났을지도 모르겠네요."
61,제11호,무럭무럭다리 설치,"육로로 가기가 어려웠던 남서쪽의 '푸른돌 임반' 내부로 이어지는, 나무뿌리로 만든 다리인 '무럭무럭다리'가 설치되었습니다!

이번 작업에는 주변에서 다수 발견된, 선구자 문명의 자율 기기로 보이는 잔해를 활용했습니다.
'무인 원예기'라고 이름 붙인 이 기기는 나무를 변형하거나 유지하는 단말이었던 것으로 보입니다.
아이테리스의 기술을 활용해 복원하자 일부 기능이 되살아나, 숲섬의 나무뿌리를 활성화해 다리를 건설하는 데 성공했습니다!

푸른돌 임반 내부에 잠든 기구도, 지금까지 복구한 두 개의 탑과 마찬가지로 도시에 꼭 필요한 기능을 갖고 있었을 것으로 추측하고 있습니다.
이 도시의 참모습에 더 다가가기 위해 앞으로 나아갑시다!"
62,제12호,마른잎탑 복구,"푸른돌 임반 내부에서 보호받던 '마른잎탑'을 복구했습니다!
탑에 빛이 밝혀짐과 동시에, 숲섬 안팎에서 시들어가던 나무들도 활력을 되찾았습니다.

마른잎탑 주변이라고 하면, 거대한 남전기석 결정이 눈에 띄었죠.
다른 탑의 주변에도 이와 마찬가지로 에너지 덩어리나 기억 매체로 사용했을 것으로 보이는 오이지스산 광석 덩어리가 여럿 있었습니다만, 이곳의 광석 덩어리는 유달리 컸습니다.
연구자들은 이 탑들이 도시 전체를 뒤덮은 에테르류를 제어하고 지휘하는 역할을 했을지도 모른다는 추측을 내놓았습니다.

즉, 3개의 탑을 모두 복구했으니 드디어 도시 중추 기구에 다가갈 준비가 되었다는 뜻이죠.
자, 앞으로도 더욱 의욕을 불태워 봅시다!"
63,제13호,푸른돌 임반으로 우주 라이너 연장,"푸른돌 임반 최심부까지 우주 라이너가 연장되었습니다!

이에 따라 도시를 순환하는 에테르류도 한층 더 활성화되었습니다…….
계측을 진행한 연구팀에 따르면, 언어적인 패턴이 검출되어 마법대학 고고학부의 협력을 받아 번역할 수 있는지 분석을 서두르고 있다고 합니다.

하지만 이 에테르류가 반복적이라는 것이 신경 쓰입니다.
즉, '같은 문장을 반복해서 발산하고 있는' 상태라는 겁니다.
그렇다면 일상적인 도시 기능은 복구되었지만, 선구자들의 지성이 숨겨진 더욱 핵심적인 기구는 잠에서 깨어나지 않았다는 것이겠죠.
유달리 크게 솟아 있는 커다란 흰색 나무 탑을 복구하면 상황이 달라질까요?
선구자들이 품은 비밀의 중심에 다가가기 위해 앞으로도 많은 협력을 부탁드립니다!"
64,제14호,로더 격납고 기능 개선,"도시 중추에 있는 탑에 도전하기 위해 로더 격납고를 업그레이드했습니다!
새롭게 개조한 파워 로더에 대응할 수 있게 되었고, 점검 기능도 크게 확장되었습니다!
게다가 고속 뇌력 충전도 가능하게 되어, 많은 기체를 동시에 출동시킬 수 있게 되었습니다.

더불어 기지 내부의 휴식 공간에는 나무를 더 늘렸고, 중앙에는 중앙 크리스탈과 중요 교신 기기를 덮도록 방패 지붕을 설치했습니다!
이 나무꾼 기지도 슬슬 완성되어 가고 있는 것 같지 않나요?

푸른 녹음과 목제 벤치에서 휴식을 취한 뒤에는 도시 중추에 도전하기 위해 다시 한번 힘을 내 봅시다!"
65,제15호,중추 삼림 상층 환경 정비,"신형 파워 로더를 사용해 드디어 도시 중심부 '중추 삼림' 상층에 도달하는 데 성공했습니다!
저도 현지에 가봤는데, 훌쩍 높은 곳에서 바라보는 도심부는 정말 절경이더군요……!!
상층에는 가지처럼 여러 갈래로 나뉜 반구 형태의 실내 시설이 여럿 존재하며, 모두 도시의 뇌라고 부를 수 있을 정도로 중요한 기구를 갖고 있는 것으로 보입니다.
그리고 하층 숲섬 전역의 도시 기구가 복구된 것과, 로더를 이용한 연금제 분사를 통해 상층의 에테르류가 활성화되면서 그동안 완전히 휴면 상태였던 중추 삼림도 깨어날 조짐이 확인되었다고 합니다.
우주 라이너 정거장도 건설되었으니, 중추 시설에 다가갈 준비는 이제 완벽합니다!"
66,제16호,대모 월계수 재기동,"이 별에서 가장 중요한 시설로 추정되는 중추 시설 '대모 월계수'의 재기동 준비가 완료되었습니다!

이곳도 하층에서 본 여러 숲섬과 마찬가지로 많은 나무들이 활력을 잃었습니다만, 우리의 연금제를 분사하여 에테르류를 활성화하는 데 성공했습니다.
그 결과, 우리는 수수께끼의 거대 구체와 그것을 지탱하는 듯이 뻗어 있는 신비로운 나무 한 그루를 확인했습니다.
연구팀은 중앙 연산 시스템 같은 것으로 추측하고 있습니다만, 과연 무엇일까요…….

대모 월계수를 완전히 깨우려면, 섬세한 부분에 수작업으로 에테르류를 연결해야만 합니다.
연결 방법을 찾는 건 연구팀에게 맡기고 때를 기다립시다."
67,제17호,선구자들의 나무들이 부르는 노래,"대모 월계수를 둘러싼 이 별은 아름다운 초록빛을 완전히 되찾았으며, 나무들이 내는 소리는 마치 선구자들이 우리에게 노래를 불러주는 듯이 느껴지기도 합니다.
우리가 도착했을 당시 행성 아욱세시아는 녹음은 우거졌지만, 곳곳에 문제가 있었습니다.
하지만 이제 그 문제들은 해결되었고, 도시를 뒤덮은 에테르는 막힘없이 흐르고 있습니다.

우리 우주 개척 계획 기구에는 처음부터 내걸었던 목표가 있습니다.
우주에 있는 별들을 돌아보며, 그곳에 살았던 생명과 만나는 것…….
비록 손을 맞잡지는 못했더라도 잔잔하게 흐르고 있는 그들의 숨결을 피부로 느낄 수 있었다고, 저는 그렇게 믿고 싶습니다.

탐색 계획은 이걸로 일단락됩니다만, 우주에 미지가 있는 한 우리의 활동은 끝나지 않을 겁니다!
우주의 길을 돌아보는 여행은 결코 이곳이 끝이 아니니까요!
이상, 레포팅웨이였습니다."
